Statement,Country,% agreeing with statement
I have a good understanding of what  artificial intelligence is ,Italy,51%
Products and services using  artificial intelligence  make me excited,Italy,49%
Products and services using artificial intelligence make me nervous,Japan,25%
I have a good understanding of what  artificial intelligence is ,Japan,44%
I know which types of products and  services use artificial intelligence ,Japan,40%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Japan,43%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Japan,63%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Japan,38%
I trust that companies that use  artificial intelligence will protect  my personal data ,Japan,27%
Products and services using  artificial intelligence  make me excited,Japan,47%
I trust that companies that use  artificial intelligence will protect  my personal data ,Malaysia,52%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Malaysia,62%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Malaysia,71%
Products and services using artificial intelligence make me nervous,Malaysia,50%
I know which types of products and  services use artificial intelligence ,Malaysia,61%
I have a good understanding of what  artificial intelligence is ,Malaysia,61%
Products and services using  artificial intelligence  make me excited,Malaysia,68%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Malaysia,64%
I have a good understanding of what  artificial intelligence is ,Mexico,80%
I know which types of products and  services use artificial intelligence ,Mexico,65%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Mexico,69%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Mexico,76%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Mexico,76%
I trust that companies that use  artificial intelligence will protect  my personal data ,Mexico,64%
Products and services using  artificial intelligence  make me excited,Mexico,70%
Products and services using artificial intelligence make me nervous,Mexico,48%
Products and services using artificial intelligence make me nervous,Netherlands,49%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Netherlands,32%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Netherlands,63%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Netherlands,38%
I trust that companies that use  artificial intelligence will protect  my personal data ,Netherlands,44%
Products and services using  artificial intelligence  make me excited,Netherlands,40%
I know which types of products and  services use artificial intelligence ,Netherlands,37%
I have a good understanding of what  artificial intelligence is ,Netherlands,70%
I have a good understanding of what  artificial intelligence is ,New Zealand,69%
Products and services using artificial intelligence make me nervous,New Zealand,66%
Products and services using  artificial intelligence  make me excited,New Zealand,43%
I trust that companies that use  artificial intelligence will protect  my personal data ,New Zealand,39%
I know which types of products and  services use artificial intelligence ,New Zealand,40%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,New Zealand,64%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,New Zealand,37%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,New Zealand,43%
Products and services using  artificial intelligence  make me excited,Peru,67%
Products and services using artificial intelligence make me nervous,Peru,50%
I trust that companies that use  artificial intelligence will protect  my personal data ,Peru,62%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Peru,74%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Peru,76%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Peru,66%
I know which types of products and  services use artificial intelligence ,Peru,65%
I have a good understanding of what  artificial intelligence is ,Peru,79%
I know which types of products and  services use artificial intelligence ,Poland,47%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Poland,41%
I have a good understanding of what  artificial intelligence is ,Poland,67%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Poland,56%
I trust artificial intelligence to not  discriminate or show bias towards  any group of people  ,Poland,53%
I trust that companies that use  artificial intelligence will protect  my personal data ,Poland,45%
Products and services using  artificial intelligence  make me excited,Poland,44%
Products and services using artificial intelligence make me nervous,Poland,37%
I have a good understanding of what  artificial intelligence is ,Singapore,67%
I know which types of products and  services use artificial intelligence ,Singapore,56%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Singapore,68%
