Statement,Country,pp. change
Products and services using artificial  intelligence make me nervous ,India,-2%
Products and services using artificial  intelligence make me nervous ,Italy,17%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Italy,7%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Italy,-1%
I know which types of products and  services use artificial intelligence ,Italy,6%
I have a good understanding of what  artificial intelligence is ,Italy,9%
I have a good understanding of what  artificial intelligence is ,Japan,3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Japan,10%
Products and services using artificial  intelligence make me nervous ,Japan,5%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Japan,13%
I know which types of products and  services use artificial intelligence ,Japan,12%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Malaysia,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Malaysia,-1%
Products and services using artificial  intelligence make me nervous ,Malaysia,2%
I have a good understanding of what  artificial intelligence is ,Malaysia,0%
I know which types of products and  services use artificial intelligence ,Malaysia,0%
I have a good understanding of what  artificial intelligence is ,Mexico,6%
I know which types of products and  services use artificial intelligence ,Mexico,3%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Mexico,7%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Mexico,11%
Products and services using artificial  intelligence make me nervous ,Mexico,10%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Netherlands,-8%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Netherlands,10%
I know which types of products and  services use artificial intelligence ,Netherlands,-4%
I have a good understanding of what  artificial intelligence is ,Netherlands,5%
Products and services using artificial  intelligence make me nervous ,Netherlands,13%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Peru,5%
I have a good understanding of what  artificial intelligence is ,Peru,3%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Peru,1%
I know which types of products and  services use artificial intelligence ,Peru,2%
Products and services using artificial  intelligence make me nervous ,Peru,15%
I have a good understanding of what  artificial intelligence is ,Poland,1%
I know which types of products and  services use artificial intelligence ,Poland,-5%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Poland,0%
Products and services using artificial  intelligence make me nervous ,Poland,7%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Poland,-4%
I have a good understanding of what  artificial intelligence is ,South Africa,-2%
I know which types of products and  services use artificial intelligence ,South Africa,7%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,South Africa,7%
Products and services using artificial  intelligence make me nervous ,South Africa,2%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,South Africa,4%
Products and services using artificial  intelligence make me nervous ,South Korea,8%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,South Korea,3%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,South Korea,9%
I know which types of products and  services use artificial intelligence ,South Korea,5%
I have a good understanding of what  artificial intelligence is ,South Korea,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Spain,-6%
I know which types of products and  services use artificial intelligence ,Spain,0%
Products and services using artificial  intelligence make me nervous ,Spain,0%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Spain,3%
I have a good understanding of what  artificial intelligence is ,Spain,3%
Products and services using artificial  intelligence make me nervous ,Sweden,19%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Sweden,1%
I know which types of products and  services use artificial intelligence ,Sweden,2%
I have a good understanding of what  artificial intelligence is ,Sweden,5%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Sweden,2%
I have a good understanding of what  artificial intelligence is ,Turkey,6%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Turkey,1%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Turkey,3%
Products and services using artificial  intelligence make me nervous ,Turkey,5%
I know which types of products and  services use artificial intelligence ,Turkey,7%
I have a good understanding of what  artificial intelligence is ,United States,5%
I know which types of products and  services use artificial intelligence ,United States,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,United States,1%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,United States,12%
Products and services using artificial  intelligence make me nervous ,United States,12%
