Statement,Country,pp. change
I trust that companies that use  artificial intelligence will protect  my personal data ,Ireland,3%
Products and services using artificial  intelligence make me nervous ,Ireland,5%
Products and services using  artificial intelligence  make me excited ,Ireland,2%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Ireland,1%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Ireland,5%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Ireland,10%
I have a good understanding of what  artificial intelligence is ,Ireland,8%
I know which types of products and  services use artificial intelligence ,Ireland,4%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Italy,-3%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Italy,-3%
I know which types of products and  services use artificial intelligence ,Italy,1%
I have a good understanding of what  artificial intelligence is ,Italy,-2%
Products and services using  artificial intelligence  make me excited ,Italy,-1%
Products and services using artificial  intelligence make me nervous ,Italy,-7%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Italy,2%
I trust that companies that use  artificial intelligence will protect  my personal data ,Italy,-1%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Japan,7%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Japan,-2%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Japan,-4%
I trust that companies that use  artificial intelligence will protect  my personal data ,Japan,-4%
Products and services using  artificial intelligence  make me excited ,Japan,-4%
Products and services using artificial  intelligence make me nervous ,Japan,1%
I have a good understanding of what  artificial intelligence is ,Japan,1%
I know which types of products and  services use artificial intelligence ,Japan,2%
Products and services using  artificial intelligence  make me excited ,Malaysia,-5%
I trust that companies that use  artificial intelligence will protect  my personal data ,Malaysia,-8%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Malaysia,-6%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Malaysia,-7%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Malaysia,-6%
I know which types of products and  services use artificial intelligence ,Malaysia,-7%
I have a good understanding of what  artificial intelligence is ,Malaysia,-4%
Products and services using artificial  intelligence make me nervous ,Malaysia,-5%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Mexico,5%
I have a good understanding of what  artificial intelligence is ,Mexico,5%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Mexico,2%
I know which types of products and  services use artificial intelligence ,Mexico,4%
I trust that companies that use  artificial intelligence will protect  my personal data ,Mexico,-2%
Products and services using  artificial intelligence  make me excited ,Mexico,-4%
Products and services using artificial  intelligence make me nervous ,Mexico,0%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Mexico,4%
I trust that companies that use  artificial intelligence will protect  my personal data ,Netherlands,-2%
I trust artificial intelligence to not  discriminate or show bias toward  any group of people ,Netherlands,-3%
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3–5 years ,Netherlands,0%
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3–5 years ,Netherlands,-3%
I know which types of products and  services use artificial intelligence ,Netherlands,-4%
I have a good understanding of what  artificial intelligence is ,Netherlands,-1%
Products and services using artificial  intelligence make me nervous ,Netherlands,-1%
Products and services using  artificial intelligence  make me excited ,Netherlands,-1%
