state,bill_id,bill_url,title,status,date_of_last_action,author,topics,summary,history,year
District of Columbia,DC B    114,http://custom.statenet.com/public/resources.cgi?id=ID:bill:DC2023000B114&ciq=ncsl&client_md=c7c9bb9dcadb8393c71d7b7ff781979f&mode=current_text,Stop Discrimination by Algorithms Act of 2023,Pending,,,Audit; Notification; Responsible Use,"Prohibits users of algorithmic decision-making from utilizing algorithmic eligibility determinations in a discriminatory manner, requires corresponding notices to individuals whose personal information is used, provides for appropriate means of civil enforcement.",,2023
Georgia,GA H     18,http://custom.statenet.com/public/resources.cgi?id=ID:bill:GA2023000H18&ciq=ncsl&client_md=4d6fcc1b3aa21bf635fa16cbc034f4fa&mode=current_text,Supplemental Appropriations,Enacted,,,Appropriations,"Makes, provides, and changes certain appropriations for the operation of the state government and its departments, boards, bureaus, commissions, institutions, and other agencies, for the university system, common schools, counties, municipalities, and political subdivisions, for all other governmental activities, projects, and undertakings authorized by law, and for all leases, contracts, agreements, and grants authorized by law, provides for the control and administration of funds, including funds for the Georgia Artificial Intelligence Manufacturing Project.",,2023
Georgia,GA H    203,http://custom.statenet.com/public/resources.cgi?id=ID:bill:GA2023000H203&ciq=ncsl&client_md=b3513f3bc1757e3247c28b083c67e451&mode=current_text,Control of Hazardous Conditions,Enacted,,,Health Use,"Relates to the control of hazardous conditions, preventable diseases, and metabolic disorders, revises provisions relating to restrictions on the sale and dispensing of contact lenses with respect to physicians, revises definitions, provides requirements for assessment mechanisms.",,2023
Georgia,GA HR   381,http://custom.statenet.com/public/resources.cgi?id=ID:bill:GA2023000HR381&ciq=ncsl&client_md=48dd4a0affd6feed482502fa1294d570&mode=current_text,Honorary Resolution,Adopted,,,Education/Training,Honors the inaugural year of Seckinger High School and its innovative artificial intelligence education.,,2023
Hawaii,HI SCR  179,http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2023000SCR179&ciq=ncsl&client_md=3d892e51a8c29791a39d2783a1ec71da&mode=current_text,Artificial Intelligence Benefits and Risks,Adopted,,,Responsible Use,Urges Congress to begin a discussion considering the benefits and risks of artificial intelligence technologies.,,2023
Hawaii,HI SR   123,http://custom.statenet.com/public/resources.cgi?id=ID:bill:HI2023000SR123&ciq=ncsl&client_md=9505f0415a56b8239964a45d4c1e6ad5&mode=current_text,Artificial Intelligence,Adopted,,,Responsible Use,Urges Congress to begin a discussion considering the benefits and risks of artificial intelligence technologies.,,2023
Illinois,IL H    364,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H364&ciq=ncsl&client_md=7e40b622bd06f15e1519ba7a8fe25ce0&mode=current_text,Artificial Intelligence Video Interview Act,Pending,,,Private Sector Use,"Amends the Artificial Intelligence Video Interview Act, makes a technical change in a section concerning the short title.",,2023
Illinois,IL H   1002,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H1002&ciq=ncsl&client_md=f437b8246f365647e589fd82283f4360&mode=current_text,Hospital Diagnostics Certification,Pending,,,Health Use,"Amends the University of Illinois Hospital Act and the Hospital Licensing Act, provides that before using any diagnostic algorithm to diagnose a patient, a hospital must first confirm that the diagnostic algorithm has been certified by the Department of Public Health and the Department of Innovation and Technology, has been shown to achieve as or more accurate diagnostic results than other diagnostic means, and is not the only method of diagnosis available to a patient.",,2023
Illinois,IL H   2570,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H2570&ciq=ncsl&client_md=ddb82a5b67cf73814202eb86006da826&mode=current_text,Anti Click Gambling Data Analytics Collection Act,Pending,,,Private Sector Use,"Creates the Anti-Click Gambling Data Analytics Collection Act, provides that no entity that operates a remote gambling platform or a subsidiary of the entity shall collect data from a participant with the intent to predict how the participant will gamble in a particular gambling or betting scenario.",,2023
Illinois,IL H   3338,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H3338&ciq=ncsl&client_md=b409a27bdaf5dc2de25a31956443dd33&mode=current_text,Safe Patient Limits Act,Pending,,,Health Use; Effect on Labor/Employment,"Creates the Safe Patient Limits Act, provides the maximum number of patients that may be assigned to a registered nurse in specified situations, provides that nothing shall preclude a facility from assigning fewer patients to a registered nurse than the limits provided in Act, provides that nothing in the Act precludes the use of patient acuity systems consistent with the Nurse Staffing by Patient Acuity Act.",,2023
Illinois,IL H   3563,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H3563&ciq=ncsl&client_md=a0384708f6c99962ac78b550ccbbd7b9&mode=current_text,Innovation and Technology Act,Enacted,,,Studies,"Amends the Department of Innovation and Technology Act, replaces the chair of the Board of Higher Education with the executive director of the Illinois Community College Board, adds to the Board the statewide chief information security officer, or his or her designee, to the Board, requires the Task Force to provide a report, makes technical changes on the provisions concerning the location of Task Force meetings and the responsibilities of the Generative AI and Natural Language Processing Task Force.",,2023
Illinois,IL H   3773,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H3773&ciq=ncsl&client_md=8f7e95823cba8d3a00c86cd500fc8976&mode=current_text,Human Rights Act,Pending,,,Private Sector Use; Responsible Use,"Amends the Human Rights Act, provides that an employer that uses predictive data analytics in its employment decisions may not consider the applicant's race or ZIP code when used as a proxy for race to reject an applicant in the context of recruiting, hiring, promotion, renewal of employment, selection for training or apprenticeship, discharge, discipline, tenure or terms, privileges, or conditions of employment.",,2023
Illinois,IL S    504,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000S504&ciq=ncsl&client_md=abe0d0cf54e1bd6223941a8bee661285&mode=current_text,Artificial Intelligence Video Interview Act,Pending,,,Private Sector Use,"Amends the Artificial Intelligence Video Interview Act, makes a technical change in a section concerning the short title.",,2023
Illinois,IL S   2314,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000S2314&ciq=ncsl&client_md=5615578d84d10570ecf06a275ac92a88&mode=current_text,Safe Patient Limits Act,Pending,,,Health Use; Effect on Labor/Employment,"Creates the Safe Patient Limits Act, provides the maximum number of patients that may be assigned to a registered nurse in specified situations, provides that nothing shall preclude a facility from assigning fewer patients to a registered nurse than the limits provided in the act, provides that the maximum patient assignments may not be exceeded, regardless of the use and application of any patient acuity system.",,2023
Illinois,IL S   2640,http://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000S2640&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,Information Act,Pending,,,Government Use,"Amends the Freedom of Information Act; provides that administrative or technical information associated with automated data operations shall be exempt from inspection and copying, but only to the extent that disclosure would jeopardize the security of the system or its data or the security of materials exempt under the act.",,2023
Louisiana,LA SCR   49,http://custom.statenet.com/public/resources.cgi?id=ID:bill:LA2023000SCR49&ciq=ncsl&client_md=b7d974bb214f14c8d862822cca0ec8d5&mode=current_text,Technology,Adopted,,,Government Use,"Requests the Joint Committee on Technology and Cybersecurity to study the impact of artificial intelligence in operations, procurement, and policy.",,2023
Maine,ME H   1270,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ME2023010H1270&ciq=ncsl&client_md=fc9bcb2855312c0ec7bc2002e2782a33&mode=current_text,Data Privacy and Protection Act,Pending - Carryover,,,Impact Assessment,"Enacts the Data Privacy and Protection Act, requires policies, practices and procedures for data privacy, prohibits retaliation for the exercise of a right relating to personal data and prohibits discriminatory practices in the collection, processing or transfer of personal data, relates to civil penalty.",,2023
Maine,ME S    656,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ME2023010S656&ciq=ncsl&client_md=6b95528a14480a5e90a2eeb4d9670143&mode=current_text,Staffing of Nurses and Improve Patient Care,Pending - Carryover,,,Health Use; Effect on Labor/Employment,Addresses unsafe staffing of nurses and improve patient care.,,2023
Maryland,MD H    622,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2023000H622&ciq=ncsl&client_md=64971ce17af0857a5203a542aca34dab&mode=current_text,Technology Grant Program and Fund,Enacted,,,Effect on Labor/Employment; Private Sector Use,"Establishes the Industry 4.0 Technology Grant Program in the Department of Commerce to provide grants to certain small and medium-sized manufacturing enterprises to assist those manufacturers with implementing new Industry 4.0 technology or related infrastructure for certain purposes, establishes the Industry 4.0 Technology Grant Fund as a special, nonlapsing fund, requires the governor to include in the budget bill for fiscal years 2024 through 2028 an appropriation of a specified amount to the fund.",,2023
Maryland,MD H    996,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2023000H996&ciq=ncsl&client_md=a0efe455193264c3e73c53e03a9e82ab&mode=current_text,Artificial Intelligence Implementation Causing Harm,Failed - Adjourned,,,,"Establishes that a person who intentionally designs and creates artificial intelligence software able to cause physical injury or death is strictly liable for damages and subject to a civil penalty if the software is used to cause personal injury or death, prohibits a person from using a physical implement that acts independently of the person but is directed by artificial intelligence software to cause injury to or death of another.",,2023
Maryland,MD H   1034,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2023000H1034&ciq=ncsl&client_md=279cafbde91bc58cb32a3f2b80be020a&mode=current_text,Artificial Intelligence Impact Advisory Board,Failed,,,Studies,"Establishes the Artificial Intelligence Impact Advisory Board to study certain issues relating to artificial intelligence and the impact that related laws, regulations, and policies have on the state's citizens, requires the board on specified date, to report its findings and recommendations to the Governor and the General Assembly.",,2023
Maryland,MD H   1068,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2023000H1068&ciq=ncsl&client_md=eab79e3a52cb09f423f37480a99880a3&mode=current_text,Commission on Responsible Artificial Intelligence,Failed - Adjourned,,,Studies,"Establishes the Commission on Responsible Artificial Intelligence in Maryland to study certain issues related to the use and regulation of artificial intelligence, requires the commission to report its findings and recommendations to the House Health and Government Operations Committee, the House Economic Matters Committee, the Senate Finance Committee, and the Senate Education, Energy, and the Environment Committee on or before a specified date.",,2023
Maryland,MD H   1132,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2023000H1132&ciq=ncsl&client_md=6b014c0a3bc2ee225046f5a7a0369420&mode=current_text,Technology and Science Advisory Commission,Failed - Adjourned,,,Studies,"Establishes the Technology and Science Advisory Commission to study and make recommendations on technology and science in the state, requires the governor, for each fiscal year, to include in the annual budget bill an appropriation of a specified amount to the commission, requires the commission to report on its activities and recommendations to the governor and the General Assembly on specified date each year.",,2023
Maryland,MD S    906,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2023000S906&ciq=ncsl&client_md=b757d69c6cc6bf67eb308f854b04aa4b&mode=current_text,Industry Technology Grant Program and Fund,Failed - Adjourned,,,Effect on Labor/Employment; Private Sector Use,"Establishes the specified Industry Technology Grant Program in the Department of Commerce to provide grants to certain small and medium-sized manufacturing enterprises to assist those manufacturers with implementing new specified Industry technology or related infrastructure for certain purposes, establishes the specified Industry Technology Grant Fund as a special, nonlapsing fund.",,2023
Massachusetts,MA H     51,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000H51&ciq=ncsl&client_md=0bb99182ad1c08838b939238589def85&mode=current_text,Economic Revitalization,Pending,,,Appropriations,"Finances the immediate economic revitalization, community development, and housing needs of the commonwealth.",,2023
Massachusetts,MA H     64,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000H64&ciq=ncsl&client_md=cd99e1101aceb4a114004822b8e3035a&mode=current_text,State Agency Automated Decision Making,Pending,,,Government Use; Responsible Use; Studies,"Relates to state agency automated decision-making, artificial intelligence, transparency, fairness, and individual rights.",,2023
Massachusetts,MA H    560,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000H560&ciq=ncsl&client_md=2481911aa0e1512dbcdf783290c3bd6f&mode=current_text,Media Literacy in Schools,Pending,,,,Relates to media literacy in schools.,,2023
Massachusetts,MA H   1873,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000H1873&ciq=ncsl&client_md=c1f1e6ba02e1197a8978637c41d1a2f2&mode=current_text,Preventing Dystopian Work Environments,Pending,,,Impact Assessment; Effect on Labor/Employment; Notification; Private Sector Use,Relates to preventing dystopian work environments.,,2023
Massachusetts,MA H   1974,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000H1974&ciq=ncsl&client_md=11262969ee2666ed115999edd7ee39d5&mode=current_text,Use of Artificial Intelligence in Mental Health Service,Pending,,,Health Use,Relates to the use of artificial intelligence in mental health services.,,2023
Massachusetts,MA H   4024,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000H4024&ciq=ncsl&client_md=b0aa4e927ebf22efd23e41cb3863d10f&mode=current_text,Automated Decision Making,Pending,,,Government Use; Responsible Use; Studies,Establishes a commission on automated decision-making by government in the commonwealth.,,2023
Massachusetts,MA S     23,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000S23&ciq=ncsl&client_md=35bac40633fff2283ca37356b865aa11&mode=current_text,Appropriations for the Fiscal Year 2023,Pending,,,Appropriations,"Makes appropriations for the Fiscal Year 2023 to provide for supplementing certain existing appropriations and for certain other activities and projects reports, recommending that the same ought to pass with an amendment striking out all after the enacting clause and inserting in place thereof the text of Senate document numbered 23.",,2023
Massachusetts,MA S     31,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000S31&ciq=ncsl&client_md=ecc4ed6a6705b2e3bffbd6b2de394710&mode=current_text,Regulate Generative Artificial Intelligence,Pending,,,Responsible Use,Relates to drafted with the help of ChatGPT to regulate generative artificial intelligence models like ChatGPT.,,2023
Massachusetts,MA S     33,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MA2023000S33&ciq=ncsl&client_md=059b63055359f8929e255f881bb29c4c&mode=current_text,Automated Decision Making by Government,Pending,,,Government Use; Responsible Use; Studies,Establishes a commission on automated decision-making by government in the commonwealth.,,2023
Michigan,MI H   5141,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MI2023000H5141&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,Campaign Practices,Enacted,,,Elections,"Provides that if a person, committee or other entity creates, originally publishes or originally distributes a qualified political advertisement, the qualified political advertisement must include, in a clear and conspicuous manner, a statement that meets specified requirements; provides that, if applicable, the advertisement must state that the qualified political advertisement was generated in whole or substantially by artificial intelligence.",,2023
Michigan,MI H   5142,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MI2023000H5142&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,Campaign Finances,Pending – Carryover,,,Elections,Modifies sentencing guidelines for campaign finance violations.,,2023
Michigan,MI H   5143,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MI2023000H5143&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,Michigan Campaign Finance Act,Enacted,,,Elections,"Relates to the Michigan Campaign Finance Act; provides that artificial intelligence means a machine-based system that can, for a given set of human-defined objectives, make predictions, recommendations or decisions influencing real or virtual environments, and that uses machine and human-based inputs to perceive real and virtual environments, abstract such perceptions into models through analysis in an automated manner, and use model inference to formulate options for information or action.",,2023
Minnesota,MN H   2890,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MN2023000H2890&ciq=ncsl&client_md=26f64bd17fd61a991f22741f9a5f1215&mode=current_text,State Government,Pending - Carryover,,,Government Use,"Relates to state government, provides for certain crime, public safety, victim, sentencing, expungement, clemency, evidence, policing, private security, corrections, firearm, controlled substances, community supervision, and 911 emergency communication system policy provisions in statutes and laws, provides for reports, authorizes rulemaking, appropriates money.",,2023
Minnesota,MN S   2909,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MN2023000S2909&ciq=ncsl&client_md=066bb0fef627bec4b27295e521a2f9b9&mode=current_text,State Government,Enacted,,,Government Use,"Relates to state government, provides law for judiciary, public safety, crime, sentencing, evidence, courts, law enforcement, firearms, controlled substances, corrections, clemency, expungement, rehabilitation and reinvestment, civil law, community supervision, supervised release, and human rights, provides for rulemaking, provides for reports, provides for criminal and civil penalties.",,2023
Mississippi,MS S   3000,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MS2023000S3000&ciq=ncsl&client_md=2d6b7aa78fc428dc3155981a825c7abb&mode=current_text,Eight Universities Fund,Enacted,,,Appropriations,Makes an appropriation to the board of trustees of state institutions of higher learning for support of the eight universities for fiscal year 2024.,,2023
Missouri,MO H    311,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MO2023000H311&ciq=ncsl&client_md=72bc2b709156d0d654e369c248a8aa23&mode=current_text,Twenty First Century Technology Innovation Task Force,Failed - Adjourned,,,Government Use; Studies,Establishes the 21st Century Technology Innovation Task Force.,,2023
Missouri,MO H    317,http://custom.statenet.com/public/resources.cgi?id=ID:bill:MO2023000H317&ciq=ncsl&client_md=753865b3f6ecc625a4960ea29278ea16&mode=current_text,Missouri Technology Task Force,Failed - Adjourned,,,Studies,Establishes the Missouri Technology Task Force.,,2023
Nevada,NV S    165,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2023000S165&ciq=ncsl&client_md=1261a8be6df5e7ab9a3c54d40787b9ec&mode=current_text,Emerging Technologies Task Force,Failed - Adjourned,,,Studies,"Relates to technology, creates the Emerging Technologies Task Force within the Department of Business and Industry, prescribes the membership, powers and duties of the task Force, authorizes the director of the to create an Opportunity Center for Emerging Technology Businesses as part of the Office of Business Finance and Planning of the Department, provides other matters properly relating thereto.",,2023
Nevada,NV S    419,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NV2023000S419&ciq=ncsl&client_md=09c6bfe6632f38c071982f530af7d970&mode=current_text,Revisions Relating To Public Health,Vetoed,,,Health Use; Studies,"Relates to public health, requires the adoption of a framework for the electronic transmittal, maintenance and exchange of certain health information, requires governmental entities, health care providers, insurers and insurance administrators to maintain, transmit and exchange health information electronically, requires the suspension of the license, certificate, registration or similar credential of a health care provider, insurer or insurance administrator that fails to comply with that requirement.",,2023
New Jersey,NJ A   4909,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2022000A4909&ciq=ncsl&client_md=ef967d7b90ec24bdf7fdfe397d76fdbf&mode=current_text,Use of Automated Tools in Hiring Decisions,Pending,,,Audit; Notification; Private Sector Use; Responsible Use,Regulates use of automated tools in hiring decisions to minimize discrimination in employment.,,2023
New Jersey,NJ A   5150,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2022000A5150&ciq=ncsl&client_md=d15445db723aff8d4e546d6ef8e358ff&mode=current_text,Job Loss Due to Automation Information,Pending,,,Effect on Labor/Employment,Requires Department of Labor and Workforce Development to track and maintain information on job loss due to automation.,,2023
New Jersey,NJ S   3714,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2022000S3714&ciq=ncsl&client_md=854158cae81b6ae71c4e31dfa9e6f336&mode=current_text,Personal Identifiable Information Disclosures,Pending,,,Notification,"Regards the New Jersey Disclosure and Accountability Transparency Act (NJ DATA), establishes certain requirements for disclosure and processing of personally identifiable information, establishes Office of Data Protection and Responsible Use in Division of Consumer Affairs.",,2023
New Jersey,NJ S   3876,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2022000S3876&ciq=ncsl&client_md=ff31e0d922d3a2119708f23fa113dd3b&mode=current_text,State Agencies Automated Systems Regulations,Pending,,,Government Use,Concerns about regulation of automated systems and artificial intelligence used by state agencies.,,2023
New Mexico,NM HM    75,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NM2023000HM75&ciq=ncsl&client_md=4d6a3bad603f966a1595125a65a86b87&mode=current_text,Children Youth and Families Department,Failed - Adjourned,,,Government Use; Effect on Labor/Employment,"Relates to children, youth and families Department structured decision-making study.",,2023
New Mexico,NM S     78,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NM2023000S78&ciq=ncsl&client_md=0d7d33ad082b23fa20861b8d9adb6536&mode=current_text,Center for Dryland Resilience,Failed - Adjourned,,,Government Use,Relates to the center for dryland resilience.,,2023
New Mexico,NM S    192,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NM2023000S192&ciq=ncsl&client_md=27e349bde4a5e07561a501679675b68c&mode=current_text,Appropriations and Legislative Confidentiality,Enacted,,,Appropriations,"Makes general appropriations and authorizing expenditures, provides an exception to legislative confidentiality.",,2023
