Date,Geographic area,Relative AI hiring year-over-year ratio
7/1/23,Slovenia,8.99%
8/1/23,Slovenia,9.85%
9/1/23,Slovenia,11.49%
10/1/23,Slovenia,10.72%
11/1/23,Slovenia,5.64%
12/1/23,Slovenia,6.99%
1/1/24,Slovenia,10.83%
2/1/24,Slovenia,10.09%
3/1/24,Slovenia,10.30%
4/1/24,Slovenia,10.43%
5/1/24,Slovenia,14.97%
6/1/24,Slovenia,7.73%
7/1/24,Slovenia,9.00%
8/1/24,Slovenia,13.38%
9/1/24,Slovenia,17.60%
10/1/24,Slovenia,23.56%
11/1/24,Slovenia,34.06%
12/1/24,Slovenia,28.21%
1/1/18,South Africa,34.18%
2/1/18,South Africa,30.17%
3/1/18,South Africa,25.34%
4/1/18,South Africa,34.80%
5/1/18,South Africa,34.64%
6/1/18,South Africa,29.90%
7/1/18,South Africa,25.27%
8/1/18,South Africa,26.48%
9/1/18,South Africa,24.40%
10/1/18,South Africa,23.55%
11/1/18,South Africa,24.68%
12/1/18,South Africa,23.38%
1/1/19,South Africa,22.58%
2/1/19,South Africa,22.99%
3/1/19,South Africa,23.61%
4/1/19,South Africa,19.28%
5/1/19,South Africa,16.58%
6/1/19,South Africa,19.68%
7/1/19,South Africa,22.87%
8/1/19,South Africa,20.02%
9/1/19,South Africa,21.46%
10/1/19,South Africa,21.40%
11/1/19,South Africa,19.26%
12/1/19,South Africa,18.14%
1/1/20,South Africa,16.97%
2/1/20,South Africa,14.14%
3/1/20,South Africa,15.95%
4/1/20,South Africa,17.70%
5/1/20,South Africa,20.62%
6/1/20,South Africa,17.98%
7/1/20,South Africa,13.78%
8/1/20,South Africa,14.76%
9/1/20,South Africa,12.96%
10/1/20,South Africa,11.27%
11/1/20,South Africa,11.89%
12/1/20,South Africa,12.25%
1/1/21,South Africa,11.51%
2/1/21,South Africa,13.24%
3/1/21,South Africa,7.76%
4/1/21,South Africa,3.86%
5/1/21,South Africa,-0.18%
6/1/21,South Africa,-0.06%
7/1/21,South Africa,4.77%
8/1/21,South Africa,4.67%
9/1/21,South Africa,4.79%
10/1/21,South Africa,7.84%
11/1/21,South Africa,6.16%
12/1/21,South Africa,7.23%
1/1/22,South Africa,7.45%
2/1/22,South Africa,4.53%
3/1/22,South Africa,7.55%
4/1/22,South Africa,9.69%
5/1/22,South Africa,11.63%
6/1/22,South Africa,9.38%
7/1/22,South Africa,5.08%
8/1/22,South Africa,4.73%
9/1/22,South Africa,5.30%
10/1/22,South Africa,1.82%
11/1/22,South Africa,3.06%
12/1/22,South Africa,2.34%
1/1/23,South Africa,2.31%
2/1/23,South Africa,4.89%
3/1/23,South Africa,2.05%
4/1/23,South Africa,0.74%
5/1/23,South Africa,0.15%
6/1/23,South Africa,0.69%
7/1/23,South Africa,2.13%
8/1/23,South Africa,0.45%
9/1/23,South Africa,-1.59%
10/1/23,South Africa,-0.06%
11/1/23,South Africa,-1.70%
12/1/23,South Africa,-2.31%
1/1/24,South Africa,-2.16%
2/1/24,South Africa,-0.45%
3/1/24,South Africa,3.62%
4/1/24,South Africa,5.34%
5/1/24,South Africa,5.11%
6/1/24,South Africa,9.78%
7/1/24,South Africa,10.79%
8/1/24,South Africa,14.17%
9/1/24,South Africa,17.52%
10/1/24,South Africa,18.84%
11/1/24,South Africa,21.27%
12/1/24,South Africa,24.24%
1/1/18,South Korea,6.92%
2/1/18,South Korea,-4.72%
3/1/18,South Korea,14.22%
4/1/18,South Korea,9.30%
5/1/18,South Korea,18.16%
6/1/18,South Korea,17.02%
7/1/18,South Korea,22.10%
8/1/18,South Korea,20.48%
9/1/18,South Korea,19.29%
10/1/18,South Korea,20.39%
11/1/18,South Korea,20.07%
12/1/18,South Korea,21.01%
1/1/19,South Korea,25.19%
2/1/19,South Korea,29.32%
3/1/19,South Korea,24.53%
4/1/19,South Korea,29.28%
5/1/19,South Korea,24.38%
6/1/19,South Korea,25.87%
7/1/19,South Korea,20.96%
8/1/19,South Korea,20.92%
9/1/19,South Korea,22.13%
10/1/19,South Korea,22.84%
11/1/19,South Korea,20.11%
12/1/19,South Korea,19.01%
1/1/20,South Korea,14.69%
2/1/20,South Korea,13.54%
3/1/20,South Korea,15.08%
4/1/20,South Korea,12.55%
5/1/20,South Korea,12.68%
6/1/20,South Korea,11.59%
7/1/20,South Korea,16.75%
8/1/20,South Korea,18.95%
9/1/20,South Korea,16.33%
10/1/20,South Korea,15.35%
11/1/20,South Korea,23.15%
12/1/20,South Korea,24.56%
1/1/21,South Korea,23.75%
2/1/21,South Korea,22.68%
3/1/21,South Korea,24.07%
4/1/21,South Korea,21.82%
5/1/21,South Korea,24.55%
6/1/21,South Korea,23.72%
7/1/21,South Korea,18.30%
8/1/21,South Korea,15.59%
9/1/21,South Korea,18.99%
10/1/21,South Korea,16.89%
11/1/21,South Korea,8.74%
12/1/21,South Korea,4.51%
1/1/22,South Korea,7.35%
2/1/22,South Korea,7.92%
3/1/22,South Korea,5.62%
4/1/22,South Korea,6.98%
5/1/22,South Korea,6.15%
6/1/22,South Korea,6.82%
7/1/22,South Korea,8.61%
8/1/22,South Korea,8.38%
9/1/22,South Korea,5.85%
10/1/22,South Korea,5.65%
11/1/22,South Korea,8.46%
12/1/22,South Korea,10.23%
1/1/23,South Korea,8.56%
2/1/23,South Korea,8.47%
3/1/23,South Korea,7.53%
4/1/23,South Korea,6.16%
5/1/23,South Korea,3.82%
6/1/23,South Korea,2.45%
7/1/23,South Korea,1.47%
8/1/23,South Korea,2.65%
9/1/23,South Korea,3.01%
10/1/23,South Korea,3.92%
11/1/23,South Korea,2.95%
12/1/23,South Korea,3.41%
1/1/24,South Korea,2.14%
2/1/24,South Korea,1.25%
3/1/24,South Korea,4.35%
4/1/24,South Korea,6.84%
5/1/24,South Korea,9.50%
6/1/24,South Korea,12.07%
7/1/24,South Korea,13.60%
8/1/24,South Korea,13.43%
9/1/24,South Korea,13.65%
10/1/24,South Korea,12.51%
11/1/24,South Korea,13.44%
12/1/24,South Korea,13.21%
1/1/18,Spain,32.17%
2/1/18,Spain,30.45%
3/1/18,Spain,28.68%
4/1/18,Spain,25.59%
5/1/18,Spain,24.11%
6/1/18,Spain,25.05%
7/1/18,Spain,27.28%
8/1/18,Spain,27.01%
9/1/18,Spain,26.99%
10/1/18,Spain,26.77%
11/1/18,Spain,25.95%
12/1/18,Spain,27.82%
1/1/19,Spain,26.18%
2/1/19,Spain,26.17%
3/1/19,Spain,25.89%
4/1/19,Spain,26.13%
5/1/19,Spain,26.13%
6/1/19,Spain,24.86%
7/1/19,Spain,22.31%
8/1/19,Spain,21.16%
9/1/19,Spain,20.07%
10/1/19,Spain,19.21%
11/1/19,Spain,19.20%
12/1/19,Spain,16.35%
1/1/20,Spain,16.45%
2/1/20,Spain,13.88%
3/1/20,Spain,15.44%
4/1/20,Spain,18.54%
5/1/20,Spain,21.81%
6/1/20,Spain,21.38%
7/1/20,Spain,21.08%
8/1/20,Spain,20.74%
9/1/20,Spain,20.03%
10/1/20,Spain,20.05%
11/1/20,Spain,20.18%
12/1/20,Spain,20.05%
1/1/21,Spain,20.77%
2/1/21,Spain,23.83%
3/1/21,Spain,20.21%
4/1/21,Spain,15.01%
5/1/21,Spain,9.28%
6/1/21,Spain,11.14%
7/1/21,Spain,11.75%
8/1/21,Spain,14.06%
9/1/21,Spain,15.11%
10/1/21,Spain,14.36%
11/1/21,Spain,12.34%
12/1/21,Spain,12.15%
1/1/22,Spain,10.59%
2/1/22,Spain,8.16%
3/1/22,Spain,9.04%
4/1/22,Spain,9.75%
5/1/22,Spain,10.31%
6/1/22,Spain,7.57%
7/1/22,Spain,8.16%
8/1/22,Spain,4.56%
9/1/22,Spain,3.70%
10/1/22,Spain,3.75%
11/1/22,Spain,4.79%
12/1/22,Spain,4.45%
1/1/23,Spain,3.99%
2/1/23,Spain,3.87%
3/1/23,Spain,3.19%
4/1/23,Spain,3.90%
5/1/23,Spain,5.15%
6/1/23,Spain,5.19%
7/1/23,Spain,3.26%
8/1/23,Spain,4.39%
9/1/23,Spain,4.87%
10/1/23,Spain,4.51%
11/1/23,Spain,5.36%
12/1/23,Spain,5.62%
1/1/24,Spain,7.22%
2/1/24,Spain,7.72%
3/1/24,Spain,10.24%
4/1/24,Spain,9.75%
5/1/24,Spain,10.17%
6/1/24,Spain,11.77%
7/1/24,Spain,12.93%
8/1/24,Spain,14.21%
9/1/24,Spain,14.22%
10/1/24,Spain,16.39%
11/1/24,Spain,16.80%
12/1/24,Spain,18.22%
1/1/18,Sweden,4.90%
2/1/18,Sweden,7.62%
3/1/18,Sweden,-0.52%
4/1/18,Sweden,2.44%
5/1/18,Sweden,8.40%
6/1/18,Sweden,11.75%
7/1/18,Sweden,8.32%
8/1/18,Sweden,9.05%
9/1/18,Sweden,10.49%
10/1/18,Sweden,12.23%
11/1/18,Sweden,12.90%
12/1/18,Sweden,10.91%
1/1/19,Sweden,11.61%
2/1/19,Sweden,12.93%
3/1/19,Sweden,18.71%
4/1/19,Sweden,17.94%
5/1/19,Sweden,14.36%
6/1/19,Sweden,13.71%
7/1/19,Sweden,16.51%
8/1/19,Sweden,16.84%
9/1/19,Sweden,16.57%
10/1/19,Sweden,13.95%
11/1/19,Sweden,13.30%
12/1/19,Sweden,14.12%
1/1/20,Sweden,15.60%
2/1/20,Sweden,12.72%
3/1/20,Sweden,7.85%
4/1/20,Sweden,10.25%
5/1/20,Sweden,13.24%
6/1/20,Sweden,12.32%
7/1/20,Sweden,10.69%
8/1/20,Sweden,10.11%
9/1/20,Sweden,8.34%
10/1/20,Sweden,10.95%
11/1/20,Sweden,10.61%
12/1/20,Sweden,12.51%
1/1/21,Sweden,10.48%
2/1/21,Sweden,12.65%
3/1/21,Sweden,14.48%
4/1/21,Sweden,12.42%
5/1/21,Sweden,11.76%
6/1/21,Sweden,11.86%
7/1/21,Sweden,14.82%
8/1/21,Sweden,15.12%
9/1/21,Sweden,16.88%
10/1/21,Sweden,14.51%
11/1/21,Sweden,14.64%
12/1/21,Sweden,13.02%
1/1/22,Sweden,12.24%
2/1/22,Sweden,10.95%
3/1/22,Sweden,10.47%
4/1/22,Sweden,9.62%
5/1/22,Sweden,7.72%
6/1/22,Sweden,6.40%
7/1/22,Sweden,2.43%
8/1/22,Sweden,1.16%
9/1/22,Sweden,0.71%
10/1/22,Sweden,1.60%
11/1/22,Sweden,1.24%
12/1/22,Sweden,0.61%
1/1/23,Sweden,1.19%
2/1/23,Sweden,2.16%
3/1/23,Sweden,1.73%
4/1/23,Sweden,2.25%
5/1/23,Sweden,3.01%
6/1/23,Sweden,3.86%
7/1/23,Sweden,5.14%
8/1/23,Sweden,5.24%
9/1/23,Sweden,4.63%
10/1/23,Sweden,4.50%
11/1/23,Sweden,4.76%
12/1/23,Sweden,6.60%
1/1/24,Sweden,7.60%
2/1/24,Sweden,7.21%
3/1/24,Sweden,8.44%
4/1/24,Sweden,9.57%
5/1/24,Sweden,11.59%
6/1/24,Sweden,13.41%
7/1/24,Sweden,14.39%
8/1/24,Sweden,15.43%
9/1/24,Sweden,15.88%
10/1/24,Sweden,16.07%
11/1/24,Sweden,18.15%
12/1/24,Sweden,19.12%
1/1/18,Switzerland,6.06%
2/1/18,Switzerland,25.36%
3/1/18,Switzerland,21.74%
4/1/18,Switzerland,17.69%
5/1/18,Switzerland,11.20%
6/1/18,Switzerland,12.48%
7/1/18,Switzerland,14.51%
8/1/18,Switzerland,16.23%
9/1/18,Switzerland,19.86%
10/1/18,Switzerland,21.20%
11/1/18,Switzerland,19.32%
12/1/18,Switzerland,20.87%
1/1/19,Switzerland,21.05%
2/1/19,Switzerland,19.59%
3/1/19,Switzerland,20.42%
4/1/19,Switzerland,22.24%
5/1/19,Switzerland,25.82%
6/1/19,Switzerland,24.78%
7/1/19,Switzerland,24.15%
8/1/19,Switzerland,22.27%
9/1/19,Switzerland,17.44%
10/1/19,Switzerland,15.60%
11/1/19,Switzerland,14.59%
12/1/19,Switzerland,12.49%
1/1/20,Switzerland,13.01%
2/1/20,Switzerland,11.34%
3/1/20,Switzerland,9.33%
4/1/20,Switzerland,6.88%
5/1/20,Switzerland,5.67%
6/1/20,Switzerland,6.11%
7/1/20,Switzerland,5.01%
8/1/20,Switzerland,5.70%
9/1/20,Switzerland,7.27%
10/1/20,Switzerland,8.15%
11/1/20,Switzerland,10.35%
12/1/20,Switzerland,9.40%
1/1/21,Switzerland,8.82%
2/1/21,Switzerland,8.41%
3/1/21,Switzerland,9.62%
4/1/21,Switzerland,11.67%
5/1/21,Switzerland,11.03%
6/1/21,Switzerland,10.32%
7/1/21,Switzerland,10.57%
8/1/21,Switzerland,10.12%
9/1/21,Switzerland,9.97%
10/1/21,Switzerland,7.52%
11/1/21,Switzerland,6.50%
12/1/21,Switzerland,6.40%
1/1/22,Switzerland,5.64%
2/1/22,Switzerland,5.51%
3/1/22,Switzerland,4.75%
4/1/22,Switzerland,2.64%
5/1/22,Switzerland,1.94%
6/1/22,Switzerland,1.51%
7/1/22,Switzerland,1.35%
8/1/22,Switzerland,0.88%
9/1/22,Switzerland,0.37%
10/1/22,Switzerland,1.28%
11/1/22,Switzerland,1.23%
12/1/22,Switzerland,0.70%
1/1/23,Switzerland,0.96%
2/1/23,Switzerland,0.90%
3/1/23,Switzerland,-0.28%
4/1/23,Switzerland,-0.40%
5/1/23,Switzerland,-0.80%
6/1/23,Switzerland,0.13%
7/1/23,Switzerland,-1.27%
8/1/23,Switzerland,-2.24%
9/1/23,Switzerland,-2.93%
10/1/23,Switzerland,-3.75%
11/1/23,Switzerland,-3.76%
12/1/23,Switzerland,-2.71%
1/1/24,Switzerland,-2.46%
2/1/24,Switzerland,-3.03%
3/1/24,Switzerland,-0.49%
4/1/24,Switzerland,1.29%
5/1/24,Switzerland,3.21%
6/1/24,Switzerland,3.43%
7/1/24,Switzerland,6.80%
8/1/24,Switzerland,8.84%
9/1/24,Switzerland,10.88%
10/1/24,Switzerland,13.62%
11/1/24,Switzerland,15.10%
12/1/24,Switzerland,18.43%
1/1/18,Turkey,37.82%
2/1/18,Turkey,42.89%
3/1/18,Turkey,63.53%
4/1/18,Turkey,44.23%
5/1/18,Turkey,53.48%
6/1/18,Turkey,51.99%
7/1/18,Turkey,55.76%
8/1/18,Turkey,52.64%
9/1/18,Turkey,51.30%
10/1/18,Turkey,52.74%
11/1/18,Turkey,48.97%
12/1/18,Turkey,47.65%
1/1/19,Turkey,45.68%
2/1/19,Turkey,46.39%
3/1/19,Turkey,38.49%
4/1/19,Turkey,43.79%
5/1/19,Turkey,37.14%
6/1/19,Turkey,38.31%
7/1/19,Turkey,34.01%
8/1/19,Turkey,34.08%
9/1/19,Turkey,32.91%
10/1/19,Turkey,30.15%
11/1/19,Turkey,31.76%
12/1/19,Turkey,31.48%
1/1/20,Turkey,32.64%
2/1/20,Turkey,29.17%
3/1/20,Turkey,31.86%
4/1/20,Turkey,33.30%
5/1/20,Turkey,38.99%
6/1/20,Turkey,34.40%
7/1/20,Turkey,35.72%
8/1/20,Turkey,35.25%
9/1/20,Turkey,35.69%
10/1/20,Turkey,34.45%
11/1/20,Turkey,33.59%
12/1/20,Turkey,34.20%
1/1/21,Turkey,34.93%
2/1/21,Turkey,36.26%
3/1/21,Turkey,34.34%
4/1/21,Turkey,28.08%
5/1/21,Turkey,23.01%
6/1/21,Turkey,24.99%
7/1/21,Turkey,21.58%
8/1/21,Turkey,20.55%
9/1/21,Turkey,18.44%
10/1/21,Turkey,18.29%
11/1/21,Turkey,17.79%
12/1/21,Turkey,15.04%
1/1/22,Turkey,12.54%
2/1/22,Turkey,9.87%
3/1/22,Turkey,8.55%
4/1/22,Turkey,10.48%
5/1/22,Turkey,7.51%
6/1/22,Turkey,4.79%
7/1/22,Turkey,5.26%
8/1/22,Turkey,2.87%
9/1/22,Turkey,1.30%
10/1/22,Turkey,-0.59%
11/1/22,Turkey,-1.13%
12/1/22,Turkey,-3.06%
1/1/23,Turkey,-4.13%
2/1/23,Turkey,-3.79%
3/1/23,Turkey,-4.98%
4/1/23,Turkey,-7.87%
5/1/23,Turkey,-8.01%
6/1/23,Turkey,-7.55%
7/1/23,Turkey,-7.61%
8/1/23,Turkey,-4.36%
9/1/23,Turkey,-2.23%
10/1/23,Turkey,-1.17%
11/1/23,Turkey,-2.34%
12/1/23,Turkey,0.65%
1/1/24,Turkey,1.97%
2/1/24,Turkey,2.85%
3/1/24,Turkey,6.46%
4/1/24,Turkey,9.40%
5/1/24,Turkey,12.79%
6/1/24,Turkey,14.42%
7/1/24,Turkey,15.61%
8/1/24,Turkey,14.74%
9/1/24,Turkey,15.11%
10/1/24,Turkey,16.30%
11/1/24,Turkey,19.51%
12/1/24,Turkey,20.36%
1/1/18,United Arab Emirates,36.54%
2/1/18,United Arab Emirates,35.89%
3/1/18,United Arab Emirates,43.19%
4/1/18,United Arab Emirates,47.91%
5/1/18,United Arab Emirates,55.81%
6/1/18,United Arab Emirates,51.19%
7/1/18,United Arab Emirates,43.73%
8/1/18,United Arab Emirates,42.74%
9/1/18,United Arab Emirates,42.22%
10/1/18,United Arab Emirates,39.38%
11/1/18,United Arab Emirates,35.60%
12/1/18,United Arab Emirates,34.48%
1/1/19,United Arab Emirates,32.14%
2/1/19,United Arab Emirates,32.30%
3/1/19,United Arab Emirates,27.10%
4/1/19,United Arab Emirates,23.99%
5/1/19,United Arab Emirates,15.87%
6/1/19,United Arab Emirates,16.27%
7/1/19,United Arab Emirates,21.04%
8/1/19,United Arab Emirates,16.49%
9/1/19,United Arab Emirates,13.76%
10/1/19,United Arab Emirates,16.84%
11/1/19,United Arab Emirates,23.00%
12/1/19,United Arab Emirates,20.89%
1/1/20,United Arab Emirates,20.25%
2/1/20,United Arab Emirates,15.66%
3/1/20,United Arab Emirates,20.18%
4/1/20,United Arab Emirates,21.19%
5/1/20,United Arab Emirates,26.55%
6/1/20,United Arab Emirates,24.43%
7/1/20,United Arab Emirates,19.50%
8/1/20,United Arab Emirates,23.36%
9/1/20,United Arab Emirates,24.65%
10/1/20,United Arab Emirates,22.00%
11/1/20,United Arab Emirates,17.30%
12/1/20,United Arab Emirates,19.65%
1/1/21,United Arab Emirates,22.74%
2/1/21,United Arab Emirates,27.21%
3/1/21,United Arab Emirates,23.13%
4/1/21,United Arab Emirates,19.34%
5/1/21,United Arab Emirates,15.02%
6/1/21,United Arab Emirates,14.24%
7/1/21,United Arab Emirates,15.36%
8/1/21,United Arab Emirates,14.11%
9/1/21,United Arab Emirates,11.57%
10/1/21,United Arab Emirates,9.27%
11/1/21,United Arab Emirates,7.07%
12/1/21,United Arab Emirates,4.01%
1/1/22,United Arab Emirates,0.12%
2/1/22,United Arab Emirates,-2.27%
3/1/22,United Arab Emirates,-0.37%
4/1/22,United Arab Emirates,0.27%
5/1/22,United Arab Emirates,-0.83%
6/1/22,United Arab Emirates,-0.40%
7/1/22,United Arab Emirates,-0.52%
8/1/22,United Arab Emirates,-2.39%
9/1/22,United Arab Emirates,-0.20%
10/1/22,United Arab Emirates,0.64%
11/1/22,United Arab Emirates,3.47%
12/1/22,United Arab Emirates,6.21%
1/1/23,United Arab Emirates,7.14%
2/1/23,United Arab Emirates,6.14%
3/1/23,United Arab Emirates,3.85%
4/1/23,United Arab Emirates,4.60%
5/1/23,United Arab Emirates,7.59%
6/1/23,United Arab Emirates,7.33%
7/1/23,United Arab Emirates,8.20%
8/1/23,United Arab Emirates,10.21%
9/1/23,United Arab Emirates,9.49%
10/1/23,United Arab Emirates,10.49%
11/1/23,United Arab Emirates,8.50%
12/1/23,United Arab Emirates,7.78%
1/1/24,United Arab Emirates,9.30%
2/1/24,United Arab Emirates,12.61%
3/1/24,United Arab Emirates,13.52%
4/1/24,United Arab Emirates,15.69%
5/1/24,United Arab Emirates,13.86%
6/1/24,United Arab Emirates,16.77%
7/1/24,United Arab Emirates,17.13%
8/1/24,United Arab Emirates,18.25%
9/1/24,United Arab Emirates,20.93%
10/1/24,United Arab Emirates,22.30%
11/1/24,United Arab Emirates,24.40%
12/1/24,United Arab Emirates,24.88%
1/1/18,United Kingdom,14.06%
2/1/18,United Kingdom,12.22%
3/1/18,United Kingdom,13.94%
4/1/18,United Kingdom,14.68%
5/1/18,United Kingdom,13.55%
6/1/18,United Kingdom,12.02%
7/1/18,United Kingdom,12.80%
8/1/18,United Kingdom,12.43%
9/1/18,United Kingdom,12.28%
10/1/18,United Kingdom,13.02%
11/1/18,United Kingdom,12.68%
12/1/18,United Kingdom,12.27%
1/1/19,United Kingdom,11.97%
2/1/19,United Kingdom,12.63%
3/1/19,United Kingdom,11.93%
4/1/19,United Kingdom,10.79%
5/1/19,United Kingdom,11.62%
6/1/19,United Kingdom,13.84%
7/1/19,United Kingdom,13.62%
8/1/19,United Kingdom,13.60%
9/1/19,United Kingdom,13.65%
10/1/19,United Kingdom,12.61%
11/1/19,United Kingdom,12.32%
12/1/19,United Kingdom,13.11%
1/1/20,United Kingdom,13.26%
2/1/20,United Kingdom,12.48%
3/1/20,United Kingdom,13.06%
4/1/20,United Kingdom,15.66%
5/1/20,United Kingdom,16.23%
6/1/20,United Kingdom,14.81%
7/1/20,United Kingdom,13.50%
8/1/20,United Kingdom,12.97%
9/1/20,United Kingdom,12.35%
10/1/20,United Kingdom,11.77%
11/1/20,United Kingdom,12.25%
12/1/20,United Kingdom,10.54%
1/1/21,United Kingdom,10.56%
2/1/21,United Kingdom,11.29%
3/1/21,United Kingdom,10.40%
4/1/21,United Kingdom,7.11%
5/1/21,United Kingdom,4.21%
6/1/21,United Kingdom,3.03%
7/1/21,United Kingdom,4.62%
8/1/21,United Kingdom,6.29%
9/1/21,United Kingdom,7.34%
10/1/21,United Kingdom,8.67%
11/1/21,United Kingdom,8.94%
12/1/21,United Kingdom,10.98%
1/1/22,United Kingdom,10.88%
2/1/22,United Kingdom,10.00%
3/1/22,United Kingdom,10.40%
4/1/22,United Kingdom,11.08%
5/1/22,United Kingdom,12.62%
6/1/22,United Kingdom,13.52%
7/1/22,United Kingdom,12.74%
8/1/22,United Kingdom,11.48%
9/1/22,United Kingdom,10.81%
10/1/22,United Kingdom,10.29%
11/1/22,United Kingdom,9.72%
12/1/22,United Kingdom,8.32%
1/1/23,United Kingdom,7.32%
2/1/23,United Kingdom,7.17%
3/1/23,United Kingdom,6.83%
4/1/23,United Kingdom,6.59%
5/1/23,United Kingdom,5.97%
6/1/23,United Kingdom,5.17%
7/1/23,United Kingdom,4.32%
8/1/23,United Kingdom,3.48%
9/1/23,United Kingdom,2.97%
10/1/23,United Kingdom,2.14%
11/1/23,United Kingdom,1.50%
12/1/23,United Kingdom,1.53%
1/1/24,United Kingdom,2.46%
2/1/24,United Kingdom,2.34%
3/1/24,United Kingdom,2.61%
4/1/24,United Kingdom,4.24%
5/1/24,United Kingdom,5.40%
6/1/24,United Kingdom,6.50%
7/1/24,United Kingdom,7.93%
8/1/24,United Kingdom,9.28%
9/1/24,United Kingdom,9.86%
10/1/24,United Kingdom,11.12%
11/1/24,United Kingdom,12.51%
12/1/24,United Kingdom,13.78%
1/1/18,United States,16.99%
2/1/18,United States,16.54%
3/1/18,United States,18.38%
4/1/18,United States,16.09%
5/1/18,United States,17.51%
6/1/18,United States,18.32%
7/1/18,United States,18.31%
8/1/18,United States,18.36%
9/1/18,United States,18.20%
10/1/18,United States,18.33%
11/1/18,United States,18.61%
12/1/18,United States,18.62%
1/1/19,United States,18.71%
2/1/19,United States,19.20%
3/1/19,United States,18.92%
4/1/19,United States,20.02%
5/1/19,United States,19.80%
6/1/19,United States,19.39%
7/1/19,United States,19.37%
8/1/19,United States,19.83%
9/1/19,United States,20.09%
10/1/19,United States,19.41%
11/1/19,United States,18.84%
12/1/19,United States,18.32%
1/1/20,United States,17.52%
2/1/20,United States,16.55%
3/1/20,United States,16.67%
4/1/20,United States,17.58%
5/1/20,United States,19.24%
6/1/20,United States,19.72%
7/1/20,United States,19.09%
8/1/20,United States,17.79%
9/1/20,United States,16.56%
10/1/20,United States,16.05%
11/1/20,United States,15.86%
12/1/20,United States,15.58%
1/1/21,United States,16.25%
2/1/21,United States,16.16%
3/1/21,United States,15.03%
4/1/21,United States,11.64%
5/1/21,United States,6.80%
6/1/21,United States,4.29%
7/1/21,United States,3.96%
8/1/21,United States,4.05%
9/1/21,United States,4.44%
10/1/21,United States,5.20%
11/1/21,United States,5.22%
12/1/21,United States,5.50%
1/1/22,United States,4.90%
2/1/22,United States,4.58%
3/1/22,United States,4.23%
4/1/22,United States,5.12%
5/1/22,United States,8.28%
6/1/22,United States,9.67%
7/1/22,United States,9.53%
8/1/22,United States,9.26%
9/1/22,United States,8.70%
10/1/22,United States,7.75%
11/1/22,United States,6.05%
12/1/22,United States,4.33%
1/1/23,United States,3.34%
2/1/23,United States,2.92%
3/1/23,United States,1.84%
4/1/23,United States,1.06%
5/1/23,United States,-1.28%
6/1/23,United States,-2.19%
7/1/23,United States,-2.99%
8/1/23,United States,-3.66%
9/1/23,United States,-3.78%
10/1/23,United States,-3.94%
11/1/23,United States,-2.53%
12/1/23,United States,-0.73%
1/1/24,United States,0.59%
2/1/24,United States,1.59%
3/1/24,United States,4.36%
4/1/24,United States,6.72%
5/1/24,United States,9.28%
6/1/24,United States,11.22%
7/1/24,United States,13.92%
8/1/24,United States,16.47%
9/1/24,United States,18.68%
10/1/24,United States,21.06%
11/1/24,United States,22.96%
12/1/24,United States,24.73%
1/1/18,Uruguay,-83.05%
2/1/18,Uruguay,-10.68%
3/1/18,Uruguay,17.95%
4/1/18,Uruguay,82.70%
5/1/18,Uruguay,79.49%
6/1/18,Uruguay,89.58%
7/1/18,Uruguay,90.13%
8/1/18,Uruguay,81.09%
9/1/18,Uruguay,89.45%
10/1/18,Uruguay,91.54%
11/1/18,Uruguay,81.59%
12/1/18,Uruguay,74.84%
1/1/19,Uruguay,123.50%
2/1/19,Uruguay,120.19%
3/1/19,Uruguay,120.46%
4/1/19,Uruguay,102.55%
5/1/19,Uruguay,98.54%
6/1/19,Uruguay,92.11%
7/1/19,Uruguay,85.12%
8/1/19,Uruguay,88.62%
9/1/19,Uruguay,82.87%
10/1/19,Uruguay,68.04%
11/1/19,Uruguay,66.81%
12/1/19,Uruguay,66.69%
1/1/20,Uruguay,21.24%
2/1/20,Uruguay,21.98%
3/1/20,Uruguay,15.14%
4/1/20,Uruguay,8.07%
5/1/20,Uruguay,10.79%
6/1/20,Uruguay,10.46%
7/1/20,Uruguay,9.88%
8/1/20,Uruguay,11.52%
9/1/20,Uruguay,2.22%
10/1/20,Uruguay,21.28%
11/1/20,Uruguay,35.67%
12/1/20,Uruguay,33.40%
1/1/21,Uruguay,54.17%
2/1/21,Uruguay,50.85%
3/1/21,Uruguay,55.96%
4/1/21,Uruguay,64.41%
5/1/21,Uruguay,59.22%
6/1/21,Uruguay,55.30%
7/1/21,Uruguay,57.19%
8/1/21,Uruguay,48.81%
9/1/21,Uruguay,53.92%
10/1/21,Uruguay,40.54%
11/1/21,Uruguay,25.60%
12/1/21,Uruguay,32.76%
1/1/22,Uruguay,14.21%
2/1/22,Uruguay,17.89%
3/1/22,Uruguay,14.44%
4/1/22,Uruguay,6.43%
5/1/22,Uruguay,10.33%
6/1/22,Uruguay,10.42%
7/1/22,Uruguay,13.26%
8/1/22,Uruguay,13.77%
9/1/22,Uruguay,11.23%
10/1/22,Uruguay,11.90%
11/1/22,Uruguay,19.96%
12/1/22,Uruguay,13.19%
1/1/23,Uruguay,16.63%
2/1/23,Uruguay,16.39%
3/1/23,Uruguay,15.32%
4/1/23,Uruguay,15.83%
5/1/23,Uruguay,14.59%
6/1/23,Uruguay,12.19%
7/1/23,Uruguay,6.55%
8/1/23,Uruguay,12.29%
9/1/23,Uruguay,12.48%
