Year,Geographic area,Gender,AI talent representation
2017,Israel,Male,76.53%
2018,Israel,Female,23.61%
2018,Israel,Male,76.40%
2019,Israel,Female,24.03%
2019,Israel,Male,75.97%
2020,Israel,Female,24.44%
2020,Israel,Male,75.56%
2021,Israel,Female,24.79%
2021,Israel,Male,75.21%
2022,Israel,Female,25.42%
2022,Israel,Male,74.58%
2023,Israel,Female,25.67%
2023,Israel,Male,74.33%
2024,Israel,Female,25.84%
2024,Israel,Male,74.16%
2016,Italy,Female,34.53%
2016,Italy,Male,65.47%
2017,Italy,Female,34.34%
2017,Italy,Male,65.66%
2018,Italy,Female,34.16%
2018,Italy,Male,65.84%
2019,Italy,Female,34.08%
2019,Italy,Male,65.92%
2020,Italy,Female,33.77%
2020,Italy,Male,66.23%
2021,Italy,Female,33.88%
2021,Italy,Male,66.12%
2022,Italy,Female,34.00%
2022,Italy,Male,66.00%
2023,Italy,Female,33.95%
2023,Italy,Male,66.06%
2024,Italy,Female,34.06%
2024,Italy,Male,65.95%
2016,Latvia,Female,41.91%
2016,Latvia,Male,58.10%
2017,Latvia,Female,42.27%
2017,Latvia,Male,57.73%
2018,Latvia,Female,39.89%
2018,Latvia,Male,60.11%
2019,Latvia,Female,38.54%
2019,Latvia,Male,61.46%
2021,Latvia,Female,37.85%
2021,Latvia,Male,62.15%
2022,Latvia,Female,37.81%
2022,Latvia,Male,62.19%
2023,Latvia,Female,37.04%
2023,Latvia,Male,62.96%
2024,Latvia,Female,38.54%
2024,Latvia,Male,61.46%
2016,Lithuania,Female,30.30%
2016,Lithuania,Male,69.70%
2017,Lithuania,Female,30.56%
2017,Lithuania,Male,69.44%
2018,Lithuania,Female,30.91%
2018,Lithuania,Male,69.09%
2019,Lithuania,Female,31.36%
2019,Lithuania,Male,68.64%
2020,Lithuania,Female,31.65%
2020,Lithuania,Male,68.35%
2021,Lithuania,Female,32.39%
2021,Lithuania,Male,67.62%
2022,Lithuania,Female,32.76%
2022,Lithuania,Male,67.24%
2023,Lithuania,Female,32.83%
2023,Lithuania,Male,67.17%
2024,Lithuania,Female,33.37%
2024,Lithuania,Male,66.63%
2016,Luxembourg,Female,26.21%
2016,Luxembourg,Male,73.79%
2017,Luxembourg,Female,25.36%
2017,Luxembourg,Male,74.64%
2018,Luxembourg,Female,26.36%
2018,Luxembourg,Male,73.64%
2019,Luxembourg,Female,26.43%
2019,Luxembourg,Male,73.57%
2020,Luxembourg,Female,25.70%
2020,Luxembourg,Male,74.30%
2021,Luxembourg,Female,27.03%
2021,Luxembourg,Male,72.97%
2022,Luxembourg,Female,26.98%
2022,Luxembourg,Male,73.02%
2023,Luxembourg,Female,27.26%
2023,Luxembourg,Male,72.74%
2024,Luxembourg,Female,27.58%
2024,Luxembourg,Male,72.42%
2016,Mexico,Female,26.38%
2016,Mexico,Male,73.62%
2017,Mexico,Female,26.36%
2017,Mexico,Male,73.64%
2018,Mexico,Female,26.18%
2018,Mexico,Male,73.82%
