Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,model_count_provider,ref_date,type
ALL,-- All countries --,SGP,Singapore,All,34,202504,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202301,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202302,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202303,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202304,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202305,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202306,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,10,202307,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,10,202308,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,10,202309,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,10,202310,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,5,202311,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,5,202312,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,5,202401,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,5,202402,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,9,202403,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,9,202404,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,9,202405,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,9,202406,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202407,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202408,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202409,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202410,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202411,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202412,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202501,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202502,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202503,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,202504,All modalities
ALL,-- All countries --,FRA,France,All,1,202306,All modalities
ALL,-- All countries --,FRA,France,All,1,202307,All modalities
ALL,-- All countries --,FRA,France,All,1,202308,All modalities
ALL,-- All countries --,FRA,France,All,1,202309,All modalities
ALL,-- All countries --,FRA,France,All,1,202310,All modalities
ALL,-- All countries --,FRA,France,All,1,202311,All modalities
ALL,-- All countries --,FRA,France,All,4,202312,All modalities
ALL,-- All countries --,FRA,France,All,4,202401,All modalities
ALL,-- All countries --,FRA,France,All,6,202402,All modalities
ALL,-- All countries --,FRA,France,All,6,202403,All modalities
ALL,-- All countries --,FRA,France,All,6,202404,All modalities
ALL,-- All countries --,FRA,France,All,6,202405,All modalities
ALL,-- All countries --,FRA,France,All,6,202406,All modalities
ALL,-- All countries --,FRA,France,All,11,202407,All modalities
ALL,-- All countries --,FRA,France,All,15,202408,All modalities
ALL,-- All countries --,FRA,France,All,14,202409,All modalities
ALL,-- All countries --,FRA,France,All,14,202410,All modalities
ALL,-- All countries --,FRA,France,All,15,202411,All modalities
ALL,-- All countries --,FRA,France,All,15,202412,All modalities
ALL,-- All countries --,FRA,France,All,20,202501,All modalities
ALL,-- All countries --,FRA,France,All,21,202502,All modalities
ALL,-- All countries --,FRA,France,All,22,202503,All modalities
ALL,-- All countries --,FRA,France,All,22,202504,All modalities
ALL,-- All countries --,NLD,Netherlands,All,24,202411,All modalities
ALL,-- All countries --,NLD,Netherlands,All,24,202412,All modalities
ALL,-- All countries --,NLD,Netherlands,All,34,202501,All modalities
ALL,-- All countries --,NLD,Netherlands,All,34,202502,All modalities
ALL,-- All countries --,NLD,Netherlands,All,42,202503,All modalities
ALL,-- All countries --,NLD,Netherlands,All,46,202504,All modalities
ALL,-- All countries --,DEU,Germany,All,3,202302,All modalities
ALL,-- All countries --,DEU,Germany,All,4,202303,All modalities
ALL,-- All countries --,DEU,Germany,All,4,202304,All modalities
ALL,-- All countries --,DEU,Germany,All,4,202305,All modalities
ALL,-- All countries --,DEU,Germany,All,4,202306,All modalities
ALL,-- All countries --,DEU,Germany,All,4,202307,All modalities
ALL,-- All countries --,DEU,Germany,All,4,202308,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202309,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202310,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202311,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202312,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202401,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202402,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202403,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202404,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202405,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202406,All modalities
ALL,-- All countries --,DEU,Germany,All,6,202407,All modalities
ALL,-- All countries --,DEU,Germany,All,7,202408,All modalities
ALL,-- All countries --,DEU,Germany,All,8,202409,All modalities
ALL,-- All countries --,DEU,Germany,All,10,202410,All modalities
ALL,-- All countries --,DEU,Germany,All,10,202411,All modalities
ALL,-- All countries --,DEU,Germany,All,10,202412,All modalities
ALL,-- All countries --,DEU,Germany,All,13,202501,All modalities
ALL,-- All countries --,DEU,Germany,All,13,202502,All modalities
ALL,-- All countries --,DEU,Germany,All,13,202503,All modalities
ALL,-- All countries --,DEU,Germany,All,13,202504,All modalities
ALL,-- All countries --,CAN,Canada,All,3,202307,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202308,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202309,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202310,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202311,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202312,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202401,All modalities
ALL,-- All countries --,CAN,Canada,All,4,202402,All modalities
ALL,-- All countries --,CAN,Canada,All,3,202403,All modalities
