Publication date,Number of parameters,Label
2017-10-26,11360000.0,Industry
2017-10-26,8200000.0,Industry
2017-10-18,46400244.0,Industry
2017-09-26,53000000.0,Industry
2017-08-07,53000000.0,Industry
2017-08-07,34000000.0,Industry
2017-08-07,33000000.0,Industry
2017-07-21,89000000.0,Industry
2017-07-03,2430000.0,Industry
2017-06-12,213000000.0,Industry
2017-04-17,4200000.0,Industry
2016-11-05,37400000.0,Industry
2016-11-05,54000000.0,Industry
2016-10-07,22855952.0,Industry
2016-09-26,21000000.0,Industry
2016-09-26,21000000.0,Industry
2016-09-26,278000000.0,Industry
2016-09-17,10200000.0,Industry
2016-02-23,43000000.0,Industry
2016-02-23,56000000.0,Industry
2015-12-10,60200000.0,Industry
2015-12-10,1700000.0,Industry
2015-12-08,38000000.0,Industry
2015-10-01,8209984.0,Industry
2015-07-06,20000000.0,Industry
2015-06-15,13600000.0,Industry
2015-02-25,1693362.0,Industry
2015-02-06,87048800.0,Industry
2014-12-03,62000000000.0,Industry
2014-09-10,1920000000.0,Industry
2014-05-14,32000000.0,Industry
2013-12-19,836096.0,Industry
2013-12-11,20000000000.0,Industry
2013-10-16,207600000.0,Industry
2013-10-16,692000000.0,Industry
2013-05-26,206899200.0,Industry
2012-12-03,1700000000.0,Industry
2012-12-03,47185920.0,Industry
2012-07-12,1000000000.0,Industry
2008-07-05,1500000.0,Industry
2007-06-22,300000000000.0,Industry
2007-06-22,21000000000.0,Industry
2005-08-07,5711.0,Industry
2024-06-25,98500000000.0,Industry–academia
2024-06-13,7188100000.0,Industry–academia
2024-02-23,530000000000.0,Industry–academia
2024-02-12,13000000000.0,Industry–academia
2024-01-17,151000000.0,Industry–academia
2023-12-14,18000000000.0,Industry–academia
2023-12-08,2300000000.0,Industry–academia
2023-11-13,13000000000.0,Industry–academia
2023-11-06,17000000000.0,Industry–academia
2023-11-05,13000000000.0,Industry–academia
2023-11-03,176000000000.0,Industry–academia
2023-10-11,13000000000.0,Industry–academia
2023-08-29,13000000000.0,Industry–academia
2023-07-06,100000000000.0,Industry–academia
2023-07-06,100000000000.0,Industry–academia
2023-05-18,4000000000.0,Industry–academia
2023-05-17,11000000000.0,Industry–academia
2023-05-11,13000000000.0,Industry–academia
2023-05-09,15500000000.0,Industry–academia
2023-04-17,13000000000.0,Industry–academia
2023-04-14,1140000000.0,Industry–academia
2023-04-09,6700000000.0,Industry–academia
2023-03-30,50558868480.0,Industry–academia
2023-03-06,562000000000.0,Industry–academia
2023-03-05,1000000000.0,Industry–academia
2023-02-13,3070000000.0,Industry–academia
2023-01-15,2500000000.0,Industry–academia
2022-11-20,1500000000.0,Industry–academia
2022-11-10,1080000000.0,Industry–academia
2022-10-20,540000000000.0,Industry–academia
2022-10-11,25000000000.0,Industry–academia
2022-10-05,1800000000.0,Industry–academia
2022-08-10,175000000000.0,Industry–academia
2022-07-21,15000000000.0,Industry–academia
2022-06-27,6400000000.0,Industry–academia
2022-06-06,750000000.0,Industry–academia
2022-05-27,700000000.0,Industry–academia
2022-04-13,1450000000.0,Industry–academia
2022-03-21,257000000.0,Industry–academia
2022-03-10,1843000000.0,Industry–academia
2022-02-10,16000000.0,Industry–academia
2022-01-07,88000000.0,Industry–academia
2021-12-23,260000000000.0,Industry–academia
2021-12-20,1450000000.0,Industry–academia
2021-12-16,110000000.0,Industry–academia
2021-11-24,870000000.0,Industry–academia
2021-11-01,220000000.0,Industry–academia
2021-10-17,274000000.0,Industry–academia
2021-10-15,11000000000.0,Industry–academia
2021-09-21,558000000.0,Industry–academia
2021-08-07,1000000000.0,Industry–academia
2021-08-03,5000000.0,Industry–academia
2021-07-29,1300000000.0,Industry–academia
2021-06-28,247000000.0,Industry–academia
2021-06-09,440000000.0,Industry–academia
2021-05-26,4000000000.0,Industry–academia
2021-05-04,11000000000.0,Industry–academia
2021-05-04,11000000000.0,Industry–academia
2021-05-04,420000000.0,Industry–academia
2021-04-29,85000000.0,Industry–academia
2021-02-13,100000000.0,Industry–academia
2021-01-15,86000000.0,Industry–academia
2020-12-25,45000000.0,Industry–academia
2020-12-15,652400000.0,Industry–academia
2020-08-03,99000000.0,Industry–academia
2020-05-22,626000000.0,Industry–academia
2020-05-06,156000000.0,Industry–academia
2020-04-29,7700000.0,Industry–academia
2020-03-23,335000000.0,Industry–academia
2020-03-11,151000000.0,Industry–academia
2020-02-28,33000000.0,Industry–academia
2020-02-21,126000000.0,Industry–academia
2020-02-09,235000000.0,Industry–academia
2020-02-07,66000000.0,Industry–academia
2019-11-11,480000000.0,Industry–academia
2019-11-10,335000000.0,Industry–academia
2019-11-01,247000000.0,Industry–academia
2019-10-02,579000000.0,Industry–academia
2019-09-26,18000000.0,Industry–academia
2019-09-25,423000000.0,Industry–academia
2019-09-04,35000000.0,Industry–academia
2019-07-01,355000000.0,Industry–academia
2019-06-24,257000000.0,Industry–academia
2019-06-17,44100000.0,Industry–academia
2019-06-01,340000000.0,Industry–academia
2019-05-22,303000000.0,Industry–academia
