state_code,date,PHCI,UR,BPPRIV,NAICS54
WA,2019-06-01,143.83,4.2,3647,214.4
WV,2019-06-01,109.3,4.8,283,26.8
WI,2019-06-01,126.12,3.2,1514,115.1
WY,2019-06-01,117.48,3.6,181,9.9
AL,2019-07-01,129.25,3.0,1556,107.6
AK,2019-07-01,113.55,5.6,182,13.1
AZ,2019-07-01,148.83,4.8,3918,159.7
AR,2019-07-01,128.77,3.4,996,43.4
CA,2019-07-01,148.79,4.0,9924,1332.7
CO,2019-07-01,148.01,2.5,3848,236.1
CT,2019-07-01,123.29,3.5,435,95.8
DE,2019-07-01,127.26,3.6,624,26.2
FL,2019-07-01,150.75,3.2,13109,595.2
GA,2019-07-01,144.68,3.6,4151,283.2
HI,2019-07-01,120.67,2.5,270,24.9
ID,2019-07-01,146.36,2.9,1671,41.1
IL,2019-07-01,125.44,3.8,2095,426.5
IN,2019-07-01,127.47,3.2,1861,122.6
IA,2019-07-01,128.15,2.7,1042,53.1
KS,2019-07-01,132.12,3.1,622,74.6
KY,2019-07-01,128.83,4.1,1320,77.0
LA,2019-07-01,110.66,4.6,1454,90.0
ME,2019-07-01,132.43,2.8,466,28.2
MD,2019-07-01,129.09,3.4,1279,259.7
MA,2019-07-01,144.96,3.0,1289,345.1
MI,2019-07-01,123.21,4.1,1890,297.3
MN,2019-07-01,138.9,3.2,2383,160.1
MS,2019-07-01,119.49,5.6,679,31.5
MO,2019-07-01,131.41,3.1,1307,162.7
MT,2019-07-01,118.61,3.5,319,23.2
NE,2019-07-01,132.75,3.1,416,46.3
NV,2019-07-01,134.84,4.0,1865,62.0
NH,2019-07-01,147.55,2.5,353,38.8
NJ,2019-07-01,129.75,3.3,2502,308.3
NM,2019-07-01,125.99,4.9,484,
NY,2019-07-01,127.01,3.8,3694,698.6
NC,2019-07-01,137.34,3.9,5746,264.2
ND,2019-07-01,143.34,2.1,288,16.2
OH,2019-07-01,125.32,4.0,1839,268.7
OK,2019-07-01,129.9,3.1,1107,75.3
OR,2019-07-01,144.73,3.7,1749,100.7
PA,2019-07-01,122.11,4.2,2146,362.4
RI,2019-07-01,126.05,3.5,113,25.7
SC,2019-07-01,151.14,2.6,3091,101.1
SD,2019-07-01,129.44,2.8,414,
TN,2019-07-01,138.55,3.2,3696,146.6
TX,2019-07-01,148.33,3.5,17515,826.9
UT,2019-07-01,151.81,2.5,2207,109.4
VT,2019-07-01,139.1,2.0,131,15.1
VA,2019-07-01,133.42,2.5,3263,438.3
WA,2019-07-01,144.51,4.1,4428,215.4
WV,2019-07-01,109.36,4.8,323,26.8
WI,2019-07-01,126.02,3.3,1547,115.4
WY,2019-07-01,117.49,3.7,173,9.8
AL,2019-08-01,129.46,3.0,1470,107.7
AK,2019-08-01,113.67,5.6,186,13.0
AZ,2019-08-01,149.52,4.8,4027,160.3
AR,2019-08-01,128.97,3.5,2195,43.4
CA,2019-08-01,149.21,4.0,8843,1337.1
CO,2019-08-01,148.48,2.5,3161,237.8
CT,2019-08-01,123.16,3.6,376,95.9
DE,2019-08-01,127.43,3.6,512,26.1
FL,2019-08-01,151.2,3.2,15187,599.0
GA,2019-08-01,145.18,3.5,4342,284.2
HI,2019-08-01,121.1,2.4,307,25.0
ID,2019-08-01,146.85,2.9,1747,41.3
IL,2019-08-01,125.84,3.7,1529,427.0
IN,2019-08-01,127.58,3.3,2172,123.1
IA,2019-08-01,128.35,2.7,1409,53.3
KS,2019-08-01,132.44,3.1,927,74.7
KY,2019-08-01,129.0,4.1,1303,77.3
LA,2019-08-01,110.8,4.7,1497,90.0
ME,2019-08-01,132.68,2.8,478,28.4
MD,2019-08-01,129.31,3.4,1289,259.8
MA,2019-08-01,145.29,3.0,1179,346.3
MI,2019-08-01,123.48,4.1,1644,297.8
MN,2019-08-01,138.77,3.3,3304,160.8
MS,2019-08-01,119.66,5.6,644,31.5
MO,2019-08-01,131.21,3.2,1710,163.0
MT,2019-08-01,118.73,3.5,347,23.4
NE,2019-08-01,132.81,3.2,798,46.5
NV,2019-08-01,135.27,4.0,1404,62.6
NH,2019-08-01,147.98,2.5,710,38.9
NJ,2019-08-01,129.69,3.4,4085,308.6
NM,2019-08-01,126.31,4.9,468,
NY,2019-08-01,126.95,3.9,3708,699.8
NC,2019-08-01,137.69,3.9,6209,265.3
ND,2019-08-01,143.72,2.1,335,16.3
OH,2019-08-01,125.26,4.1,2502,269.1
OK,2019-08-01,130.06,3.1,1173,75.3
OR,2019-08-01,145.36,3.6,1919,101.0
PA,2019-08-01,122.39,4.2,2253,363.0
RI,2019-08-01,126.26,3.5,84,25.7
SC,2019-08-01,151.81,2.5,3187,101.7
SD,2019-08-01,130.15,2.7,427,
TN,2019-08-01,138.93,3.2,3943,146.5
TX,2019-08-01,148.79,3.5,19405,830.8
UT,2019-08-01,152.27,2.5,2821,110.0
VT,2019-08-01,138.95,2.1,183,15.2
VA,2019-08-01,133.71,2.5,3703,438.7
WA,2019-08-01,145.13,4.0,4133,215.9
WV,2019-08-01,108.87,4.9,315,26.8
WI,2019-08-01,126.17,3.3,1635,115.6
WY,2019-08-01,117.49,3.8,183,9.9
AL,2019-09-01,129.62,3.0,1423,107.8
AK,2019-09-01,113.98,5.5,193,13.1
AZ,2019-09-01,150.16,4.7,3302,160.5
AR,2019-09-01,129.16,3.5,906,43.2
CA,2019-09-01,149.58,4.0,9920,1337.1
CO,2019-09-01,148.84,2.5,3299,237.7
CT,2019-09-01,123.3,3.6,478,95.7
DE,2019-09-01,127.64,3.6,537,26.0
FL,2019-09-01,151.58,3.2,15067,599.9
GA,2019-09-01,145.62,3.5,4420,285.2
HI,2019-09-01,121.38,2.4,370,25.0
ID,2019-09-01,147.17,2.9,1194,41.4
IL,2019-09-01,126.06,3.7,1419,426.4
IN,2019-09-01,127.81,3.3,1790,123.6
IA,2019-09-01,128.53,2.7,1037,53.4
KS,2019-09-01,132.66,3.1,699,75.1
KY,2019-09-01,129.54,4.0,1158,77.9
LA,2019-09-01,110.86,4.8,1436,89.9
ME,2019-09-01,132.7,2.9,360,28.5
MD,2019-09-01,129.87,3.3,1445,259.5
MA,2019-09-01,145.6,3.0,869,347.2
MI,2019-09-01,123.87,4.0,2202,297.7
MN,2019-09-01,138.99,3.3,1880,160.5
MS,2019-09-01,119.82,5.6,593,31.4
MO,2019-09-01,131.05,3.3,1339,163.2
MT,2019-09-01,118.93,3.5,371,23.4
NE,2019-09-01,133.04,3.2,912,46.6
NV,2019-09-01,135.59,4.0,1378,62.4
NH,2019-09-01,148.07,2.6,252,39.2
NJ,2019-09-01,129.46,3.6,3424,308.5
NM,2019-09-01,126.62,4.9,362,
NY,2019-09-01,127.16,3.9,2873,699.8
NC,2019-09-01,138.07,3.9,5589,265.6
ND,2019-09-01,143.95,2.1,570,16.3
OH,2019-09-01,125.17,4.2,2339,269.0
OK,2019-09-01,130.09,3.2,1010,74.9
OR,2019-09-01,145.96,3.5,2013,101.2
PA,2019-09-01,122.36,4.3,1741,363.7
RI,2019-09-01,126.42,3.5,137,25.8
SC,2019-09-01,152.49,2.4,2816,102.5
SD,2019-09-01,130.38,2.7,426,
TN,2019-09-01,139.04,3.3,3329,147.2
TX,2019-09-01,149.2,3.5,16452,834.4
UT,2019-09-01,152.9,2.4,2508,110.4
VT,2019-09-01,139.2,2.1,109,15.3
VA,2019-09-01,133.78,2.6,2403,437.6
WA,2019-09-01,145.73,3.9,4121,216.4
WV,2019-09-01,108.35,5.0,256,26.7
WI,2019-09-01,126.24,3.3,1661,115.9
WY,2019-09-01,117.64,3.8,163,9.8
AL,2019-10-01,129.76,3.0,1403,108.0
AK,2019-10-01,114.09,5.4,130,13.1
AZ,2019-10-01,150.62,4.7,4032,159.7
AR,2019-10-01,129.45,3.5,951,43.2
CA,2019-10-01,149.98,4.0,10176,1342.3
CO,2019-10-01,149.04,2.6,4219,238.5
CT,2019-10-01,123.43,3.6,1136,96.0
DE,2019-10-01,127.82,3.6,519,26.0
FL,2019-10-01,152.33,3.1,15381,601.0
GA,2019-10-01,145.95,3.4,5876,286.2
HI,2019-10-01,121.51,2.4,672,24.8
ID,2019-10-01,147.71,2.9,1610,41.5
IL,2019-10-01,126.22,3.7,1746,427.6
IN,2019-10-01,127.97,3.3,1960,124.0
IA,2019-10-01,128.72,2.7,1699,53.3
KS,2019-10-01,132.85,3.1,893,74.7
KY,2019-10-01,129.72,4.0,1265,77.6
LA,2019-10-01,110.82,4.8,1489,89.7
ME,2019-10-01,132.53,3.0,439,28.5
MD,2019-10-01,130.13,3.3,1522,259.2
MA,2019-10-01,145.91,3.0,1195,347.6
MI,2019-10-01,123.97,3.9,2298,298.4
MN,2019-10-01,139.28,3.3,3547,160.9
MS,2019-10-01,119.78,5.6,668,31.4
MO,2019-10-01,131.2,3.3,1808,163.9
MT,2019-10-01,119.12,3.5,268,23.5
NE,2019-10-01,133.55,3.1,610,46.5
NV,2019-10-01,135.55,4.1,1699,62.4
NH,2019-10-01,148.47,2.6,252,39.2
NJ,2019-10-01,129.43,3.7,3786,308.5
NM,2019-10-01,126.93,4.9,598,
NY,2019-10-01,127.3,3.9,3976,699.8
NC,2019-10-01,138.45,3.8,6325,266.5
ND,2019-10-01,144.23,2.1,203,16.3
OH,2019-10-01,125.13,4.3,1870,269.1
OK,2019-10-01,130.22,3.2,1072,75.2
OR,2019-10-01,146.58,3.4,2405,101.2
PA,2019-10-01,122.54,4.3,1903,364.0
RI,2019-10-01,126.84,3.4,102,25.9
SC,2019-10-01,152.79,2.4,3044,101.8
SD,2019-10-01,130.75,2.7,688,
TN,2019-10-01,139.25,3.3,4778,147.5
TX,2019-10-01,149.52,3.5,19861,837.4
UT,2019-10-01,153.38,2.4,2869,110.8
VT,2019-10-01,139.01,2.2,145,15.2
VA,2019-10-01,133.96,2.7,1933,440.9
WA,2019-10-01,146.11,3.9,3768,217.2
WV,2019-10-01,108.29,5.0,242,26.4
WI,2019-10-01,126.5,3.3,1763,115.8
WY,2019-10-01,117.64,3.9,162,9.9
AL,2019-11-01,130.0,3.0,1218,108.4
AK,2019-11-01,114.29,5.3,115,13.2
AZ,2019-11-01,151.13,4.7,4175,160.7
AR,2019-11-01,129.72,3.5,1006,43.4
CA,2019-11-01,150.17,4.1,7630,1348.6
CO,2019-11-01,149.33,2.7,3606,239.6
CT,2019-11-01,123.32,3.7,561,96.1
DE,2019-11-01,128.08,3.6,482,25.9
FL,2019-11-01,152.77,3.1,10374,604.0
GA,2019-11-01,146.35,3.4,3409,286.4
HI,2019-11-01,121.96,2.3,179,24.8
ID,2019-11-01,148.54,2.8,1383,41.6
IL,2019-11-01,126.59,3.6,1817,427.1
IN,2019-11-01,128.2,3.3,1890,124.5
IA,2019-11-01,128.89,2.7,674,53.4
KS,2019-11-01,133.1,3.1,464,74.7
KY,2019-11-01,129.96,4.0,880,77.9
LA,2019-11-01,110.92,4.8,1127,89.8
ME,2019-11-01,132.7,3.0,277,28.5
MD,2019-11-01,130.73,3.2,1163,259.8
MA,2019-11-01,146.25,3.0,1415,348.7
MI,2019-11-01,124.57,3.8,1321,299.7
MN,2019-11-01,139.49,3.3,2651,160.6
MS,2019-11-01,120.04,5.5,513,31.7
MO,2019-11-01,131.01,3.4,1115,164.0
MT,2019-11-01,119.29,3.5,242,23.7
NE,2019-11-01,133.87,3.1,665,46.6
NV,2019-11-01,136.23,4.1,1087,63.0
NH,2019-11-01,149.13,2.5,304,39.5
NJ,2019-11-01,129.49,3.8,3175,309.0
NM,2019-11-01,127.23,4.9,471,
NY,2019-11-01,127.27,4.0,5323,701.5
NC,2019-11-01,138.79,3.8,5290,267.4
ND,2019-11-01,144.84,2.0,200,16.3
OH,2019-11-01,125.3,4.3,2406,269.7
OK,2019-11-01,130.67,3.1,909,75.9
OR,2019-11-01,146.97,3.4,1124,101.2
PA,2019-11-01,122.68,4.3,1340,364.1
RI,2019-11-01,127.03,3.4,91,26.0
SC,2019-11-01,152.78,2.5,2434,102.0
SD,2019-11-01,131.61,2.6,314,
TN,2019-11-01,139.39,3.4,3237,148.7
TX,2019-11-01,149.97,3.5,16880,841.5
UT,2019-11-01,153.88,2.4,2584,111.4
VT,2019-11-01,139.69,2.1,73,15.3
VA,2019-11-01,134.25,2.7,2170,441.7
WA,2019-11-01,146.78,3.8,5169,217.8
WV,2019-11-01,107.72,5.1,274,26.3
