Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,model_count_provider,ref_date,type
ALL,-- All countries --,CHN,China (People's Republic of),All,3,2023-12-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,2024-01-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,2024-02-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,2024-03-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,3,2024-04-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,5,2024-05-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,5,2024-06-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,24,2024-07-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,30,2024-08-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,29,2024-09-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,42,2024-10-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,49,2024-11-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,49,2024-12-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,98,2025-01-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,98,2025-02-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,111,2025-03-01,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,112,2025-04-01,All modalities
ALL,-- All countries --,SGP,Singapore,All,21,2024-09-01,All modalities
ALL,-- All countries --,SGP,Singapore,All,22,2024-10-01,All modalities
ALL,-- All countries --,SGP,Singapore,All,22,2024-11-01,All modalities
ALL,-- All countries --,SGP,Singapore,All,22,2024-12-01,All modalities
ALL,-- All countries --,SGP,Singapore,All,33,2025-01-01,All modalities
ALL,-- All countries --,SGP,Singapore,All,32,2025-02-01,All modalities
ALL,-- All countries --,SGP,Singapore,All,34,2025-03-01,All modalities
ALL,-- All countries --,SGP,Singapore,All,34,2025-04-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,2023-01-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,2023-02-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,2023-03-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,2023-04-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,2023-05-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,2023-06-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,10,2023-07-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,10,2023-08-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,10,2023-09-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,10,2023-10-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,5,2023-11-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,5,2023-12-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,5,2024-01-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,5,2024-02-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,9,2024-03-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,9,2024-04-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,9,2024-05-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,9,2024-06-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2024-07-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2024-08-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2024-09-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2024-10-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2024-11-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2024-12-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2025-01-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2025-02-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2025-03-01,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,11,2025-04-01,All modalities
ALL,-- All countries --,FRA,France,All,1,2023-06-01,All modalities
ALL,-- All countries --,FRA,France,All,1,2023-07-01,All modalities
ALL,-- All countries --,FRA,France,All,1,2023-08-01,All modalities
ALL,-- All countries --,FRA,France,All,1,2023-09-01,All modalities
ALL,-- All countries --,FRA,France,All,1,2023-10-01,All modalities
ALL,-- All countries --,FRA,France,All,1,2023-11-01,All modalities
ALL,-- All countries --,FRA,France,All,4,2023-12-01,All modalities
ALL,-- All countries --,FRA,France,All,4,2024-01-01,All modalities
ALL,-- All countries --,FRA,France,All,6,2024-02-01,All modalities
ALL,-- All countries --,FRA,France,All,6,2024-03-01,All modalities
ALL,-- All countries --,FRA,France,All,6,2024-04-01,All modalities
ALL,-- All countries --,FRA,France,All,6,2024-05-01,All modalities
ALL,-- All countries --,FRA,France,All,6,2024-06-01,All modalities
ALL,-- All countries --,FRA,France,All,11,2024-07-01,All modalities
ALL,-- All countries --,FRA,France,All,15,2024-08-01,All modalities
ALL,-- All countries --,FRA,France,All,14,2024-09-01,All modalities
ALL,-- All countries --,FRA,France,All,14,2024-10-01,All modalities
ALL,-- All countries --,FRA,France,All,15,2024-11-01,All modalities
ALL,-- All countries --,FRA,France,All,15,2024-12-01,All modalities
ALL,-- All countries --,FRA,France,All,20,2025-01-01,All modalities
ALL,-- All countries --,FRA,France,All,21,2025-02-01,All modalities
ALL,-- All countries --,FRA,France,All,22,2025-03-01,All modalities
ALL,-- All countries --,FRA,France,All,22,2025-04-01,All modalities
ALL,-- All countries --,NLD,Netherlands,All,24,2024-11-01,All modalities
