Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,quality_index,ref_date,type
DEU,Germany,ALL,-- All countries --,All,,2024-02-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-03-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-04-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2024-05-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-05-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-06-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2024-06-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2024-06-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2024-07-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2024-07-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-07-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-08-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2024-08-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2024-08-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2024-09-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-09-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2024-09-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2024-10-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-10-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2024-10-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2024-11-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2024-11-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-11-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2024-12-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2024-12-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2024-12-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2025-01-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2025-01-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2025-01-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2025-02-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2025-02-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2025-02-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2025-03-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2025-03-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2025-03-01,Text-to-text
JPN,Japan,ALL,-- All countries --,All,,2025-04-01,Text-to-text
GBR,United Kingdom,ALL,-- All countries --,All,,2025-04-01,Text-to-text
DEU,Germany,ALL,-- All countries --,All,,2025-04-01,Text-to-text
