Country of developer,Country of developer_label,Country of provider,Country of provider_label,foundation_model_count_by_provider,is_open_source,ref_date,type
ALL,-- All countries --,DEU,Germany,3,All,202302,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202303,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202304,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202305,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202306,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202307,All modalities
ALL,-- All countries --,DEU,Germany,4,All,202308,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202309,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202310,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202311,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202312,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202401,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202402,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202403,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202404,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202405,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202406,All modalities
ALL,-- All countries --,DEU,Germany,6,All,202407,All modalities
ALL,-- All countries --,DEU,Germany,7,All,202408,All modalities
ALL,-- All countries --,DEU,Germany,8,All,202409,All modalities
ALL,-- All countries --,DEU,Germany,10,All,202410,All modalities
ALL,-- All countries --,DEU,Germany,10,All,202411,All modalities
ALL,-- All countries --,DEU,Germany,10,All,202412,All modalities
ALL,-- All countries --,DEU,Germany,13,All,202501,All modalities
ALL,-- All countries --,DEU,Germany,13,All,202502,All modalities
ALL,-- All countries --,DEU,Germany,13,All,202503,All modalities
ALL,-- All countries --,DEU,Germany,13,All,202504,All modalities
ALL,-- All countries --,FRA,France,1,All,202306,All modalities
ALL,-- All countries --,FRA,France,1,All,202307,All modalities
ALL,-- All countries --,FRA,France,1,All,202308,All modalities
ALL,-- All countries --,FRA,France,1,All,202309,All modalities
ALL,-- All countries --,FRA,France,1,All,202310,All modalities
ALL,-- All countries --,FRA,France,1,All,202311,All modalities
ALL,-- All countries --,FRA,France,4,All,202312,All modalities
ALL,-- All countries --,FRA,France,4,All,202401,All modalities
ALL,-- All countries --,FRA,France,6,All,202402,All modalities
ALL,-- All countries --,FRA,France,6,All,202403,All modalities
ALL,-- All countries --,FRA,France,6,All,202404,All modalities
ALL,-- All countries --,FRA,France,6,All,202405,All modalities
ALL,-- All countries --,FRA,France,6,All,202406,All modalities
ALL,-- All countries --,FRA,France,10,All,202407,All modalities
ALL,-- All countries --,FRA,France,14,All,202408,All modalities
ALL,-- All countries --,FRA,France,12,All,202409,All modalities
ALL,-- All countries --,FRA,France,12,All,202410,All modalities
ALL,-- All countries --,FRA,France,14,All,202411,All modalities
ALL,-- All countries --,FRA,France,14,All,202412,All modalities
ALL,-- All countries --,FRA,France,16,All,202501,All modalities
ALL,-- All countries --,FRA,France,17,All,202502,All modalities
ALL,-- All countries --,FRA,France,18,All,202503,All modalities
ALL,-- All countries --,FRA,France,18,All,202504,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202301,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202302,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202303,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202304,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202305,All modalities
ALL,-- All countries --,GBR,United Kingdom,2,All,202306,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202307,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202308,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202309,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202310,All modalities
ALL,-- All countries --,GBR,United Kingdom,4,All,202311,All modalities
ALL,-- All countries --,GBR,United Kingdom,4,All,202312,All modalities
ALL,-- All countries --,GBR,United Kingdom,4,All,202401,All modalities
ALL,-- All countries --,GBR,United Kingdom,4,All,202402,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202403,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202404,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202405,All modalities
ALL,-- All countries --,GBR,United Kingdom,7,All,202406,All modalities
ALL,-- All countries --,GBR,United Kingdom,9,All,202407,All modalities
ALL,-- All countries --,GBR,United Kingdom,9,All,202408,All modalities
ALL,-- All countries --,GBR,United Kingdom,9,All,202409,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202410,All modalities
ALL,-- All countries --,GBR,United Kingdom,11,All,202411,All modalities
