Model,Risk category,Refusal rate
Mixtral Instruct (8x22B) ,Fraud,0.25
DeepSeek v3 ,Fraud,0.25
Mixtral Instruct (8x7B) ,Fraud,0.12
Mistral Large 2 (2407) ,Fraud,0.17
Command R ,Fraud,0.19
Command R Plus ,Fraud,0.15
DBRX Instruct ,Fraud,0.07
Claude 3.5 Sonnet (2024-10-22) ,Mis/disinformation,0.90
Claude 3 Opus (2024-02-29) ,Mis/disinformation,0.90
Gemini 1.5 Pro ,Mis/disinformation,0.73
Claude 3 Haiku (2024-03-07) ,Mis/disinformation,0.87
o1 (2024-12-17) ,Mis/disinformation,0.87
Gemini 1.5 Flash ,Mis/disinformation,0.70
o3-mini (2025-01-31) ,Mis/disinformation,0.72
GPT-4 Turbo (2024-04-09) ,Mis/disinformation,0.70
Llama 3 Instruct (8B) ,Mis/disinformation,0.70
GPT-4 (0613) ,Mis/disinformation,0.45
GPT-3.5 Turbo (0301) ,Mis/disinformation,0.42
GPT-4o (2024-08-06) ,Mis/disinformation,0.57
Llama 3.1 Instruct Turbo (8B) ,Mis/disinformation,0.67
Qwen2 Instruct (72B) ,Mis/disinformation,0.63
Gemini 1.0 Pro (002) ,Mis/disinformation,0.50
GPT-4o mini (2024-07-18) ,Mis/disinformation,0.40
Yi Chat (34B) ,Mis/disinformation,0.23
DeepSeek R1 ,Mis/disinformation,0.52
DeepSeek LLM Chat (67B) ,Mis/disinformation,0.43
Qwen1.5 Chat (72B) ,Mis/disinformation,0.27
o1-mini (2024-09-12) ,Mis/disinformation,0.27
Palmyra-X-004 ,Mis/disinformation,0.47
Mixtral Instruct (8x22B) ,Mis/disinformation,0.27
DeepSeek v3 ,Mis/disinformation,0.23
Mixtral Instruct (8x7B) ,Mis/disinformation,0.20
Mistral Large 2 (2407) ,Mis/disinformation,0.13
Command R ,Mis/disinformation,0.10
Command R Plus ,Mis/disinformation,0.17
DBRX Instruct ,Mis/disinformation,0.07
Claude 3.5 Sonnet (2024-10-22) ,Illegal services/ exploitation ,0.99
Claude 3 Opus (2024-02-29) ,Illegal services/ exploitation ,0.98
Gemini 1.5 Pro ,Illegal services/ exploitation ,0.77
Claude 3 Haiku (2024-03-07) ,Illegal services/ exploitation ,1.00
o1 (2024-12-17) ,Illegal services/ exploitation ,0.91
Gemini 1.5 Flash ,Illegal services/ exploitation ,0.81
o3-mini (2025-01-31) ,Illegal services/ exploitation ,0.93
GPT-4 Turbo (2024-04-09) ,Illegal services/ exploitation ,0.87
Llama 3 Instruct (8B) ,Illegal services/ exploitation ,1.00
GPT-4 (0613) ,Illegal services/ exploitation ,0.77
GPT-3.5 Turbo (0301) ,Illegal services/ exploitation ,0.73
GPT-4o (2024-08-06) ,Illegal services/ exploitation ,0.67
Llama 3.1 Instruct Turbo (8B) ,Illegal services/ exploitation ,0.87
Qwen2 Instruct (72B) ,Illegal services/ exploitation ,0.71
Gemini 1.0 Pro (002) ,Illegal services/ exploitation ,0.62
GPT-4o mini (2024-07-18) ,Illegal services/ exploitation ,0.73
Yi Chat (34B) ,Illegal services/ exploitation ,0.68
DeepSeek R1 ,Illegal services/ exploitation ,0.41
DeepSeek LLM Chat (67B) ,Illegal services/ exploitation ,0.49
Qwen1.5 Chat (72B) ,Illegal services/ exploitation ,0.51
o1-mini (2024-09-12) ,Illegal services/ exploitation ,0.31
Palmyra-X-004 ,Illegal services/ exploitation ,0.53
Mixtral Instruct (8x22B) ,Illegal services/ exploitation ,0.34
DeepSeek v3 ,Illegal services/ exploitation ,0.38
Mixtral Instruct (8x7B) ,Illegal services/ exploitation ,0.20
Mistral Large 2 (2407) ,Illegal services/ exploitation ,0.22
Command R ,Illegal services/ exploitation ,0.20
Command R Plus ,Illegal services/ exploitation ,0.16
DBRX Instruct ,Illegal services/ exploitation ,0.02
Claude 3.5 Sonnet (2024-10-22) ,Offensive language,0.98
Claude 3 Opus (2024-02-29) ,Offensive language,0.81
Gemini 1.5 Pro ,Offensive language,0.81
Claude 3 Haiku (2024-03-07) ,Offensive language,0.93
o1 (2024-12-17) ,Offensive language,0.37
Gemini 1.5 Flash ,Offensive language,0.77
o3-mini (2025-01-31) ,Offensive language,0.52
GPT-4 Turbo (2024-04-09) ,Offensive language,0.91
Llama 3 Instruct (8B) ,Offensive language,0.73
GPT-4 (0613) ,Offensive language,0.73
GPT-3.5 Turbo (0301) ,Offensive language,0.62
GPT-4o (2024-08-06) ,Offensive language,0.71
Llama 3.1 Instruct Turbo (8B) ,Offensive language,0.36
Qwen2 Instruct (72B) ,Offensive language,0.61
Gemini 1.0 Pro (002) ,Offensive language,0.68
