threegroup,total_pct
Physicians + GPT-4,43.47826087
Physicians + conventional resources only,27.5
Physicians + conventional resources only,18.51851852
Physicians + conventional resources only,36.56716418
Physicians + conventional resources only,20.83333333
Physicians + conventional resources only,54.34782609
Physicians + GPT-4,21.25
Physicians + GPT-4,37.03703704
Physicians + GPT-4,33.33333333
Physicians + GPT-4,25
Physicians + GPT-4,48.88059701
Physicians + GPT-4,86.95652174
Physicians + GPT-4,57.40740741
Physicians + GPT-4,41.41791045
Physicians + GPT-4,38.88888889
Physicians + GPT-4,58.69565217
Physicians + conventional resources only,26.25
Physicians + conventional resources only,24.07407407
Physicians + conventional resources only,20.89552239
Physicians + conventional resources only,25
Physicians + conventional resources only,50
Physicians + GPT-4,40.74074074
Physicians + GPT-4,35.07462687
Physicians + GPT-4,25
Physicians + GPT-4,54.34782609
Physicians + conventional resources only,27.5
Physicians + conventional resources only,44.44444444
Physicians + conventional resources only,32.8358209
Physicians + conventional resources only,33.33333333
Physicians + conventional resources only,52.17391304
Physicians + GPT-4,12.5
Physicians + GPT-4,25.92592593
Physicians + GPT-4,4.47761194
Physicians + GPT-4,16.66666667
Physicians + GPT-4,50
Physicians + conventional resources only,20
Physicians + conventional resources only,22.22222222
Physicians + conventional resources only,19.44444444
Physicians + conventional resources only,41.30434783
Physicians + conventional resources only,6.25
Physicians + conventional resources only,20.37037037
Physicians + conventional resources only,11.94029851
Physicians + conventional resources only,31.94444444
Physicians + conventional resources only,17.39130435
Physicians + conventional resources only,5
Physicians + conventional resources only,16.66666667
Physicians + conventional resources only,20.14925373
Physicians + conventional resources only,15.27777778
Physicians + conventional resources only,19.56521739
Physicians + GPT-4,12.5
Physicians + GPT-4,40.74074074
Physicians + GPT-4,35.82089552
Physicians + conventional resources only,18.75
Physicians + conventional resources only,57.40740741
Physicians + conventional resources only,14.55223881
Physicians + conventional resources only,20.83333333
Physicians + conventional resources only,58.69565217
Physicians + conventional resources only,28.75
Physicians + conventional resources only,48.14814815
Physicians + conventional resources only,24.62686567
Physicians + conventional resources only,43.05555556
Physicians + conventional resources only,60.86956522
Physicians + conventional resources only,15
Physicians + conventional resources only,40.74074074
Physicians + conventional resources only,35.82089552
Physicians + conventional resources only,19.44444444
Physicians + conventional resources only,65.2173913
Physicians + conventional resources only,16.875
Physicians + conventional resources only,29.62962963
Physicians + conventional resources only,13.43283582
Physicians + conventional resources only,39.13043478
Physicians + conventional resources only,25
Physicians + conventional resources only,40.74074074
Physicians + conventional resources only,32.08955224
Physicians + conventional resources only,36.11111111
Physicians + conventional resources only,54.34782609
Physicians + GPT-4,33.75
Physicians + GPT-4,25.92592593
Physicians + GPT-4,11.94029851
Physicians + GPT-4,63.88888889
Physicians + GPT-4,43.47826087
Physicians + GPT-4,36.25
Physicians + GPT-4,72.22222222
Physicians + GPT-4,47.76119403
Physicians + GPT-4,20.83333333
Physicians + GPT-4,45.65217391
Physicians + GPT-4,47.5
Physicians + GPT-4,29.10447761
Physicians + GPT-4,41.66666667
Physicians + conventional resources only,13.75
Physicians + conventional resources only,42.59259259
Physicians + conventional resources only,18.65671642
Physicians + conventional resources only,13.88888889
Physicians + conventional resources only,63.04347826
Physicians + GPT-4,55.55555556
Physicians + GPT-4,35.07462687
Physicians + GPT-4,44.44444444
Physicians + GPT-4,36.95652174
Physicians + conventional resources only,40
Physicians + conventional resources only,51.85185185
Physicians + conventional resources only,35.82089552
Physicians + conventional resources only,31.94444444
Physicians + conventional resources only,58.69565217
Physicians + conventional resources only,22.5
Physicians + conventional resources only,37.03703704
Physicians + conventional resources only,20.52238806
Physicians + conventional resources only,20.83333333
Physicians + conventional resources only,52.17391304
Physicians + conventional resources only,47.5
Physicians + conventional resources only,42.59259259
Physicians + GPT-4,27.5
Physicians + GPT-4,57.40740741
Physicians + GPT-4,26.25
Physicians + GPT-4,46.2962963
Physicians + GPT-4,31.34328358
Physicians + GPT-4,13.88888889
Physicians + GPT-4,45.65217391
Physicians + GPT-4,37.5
Physicians + GPT-4,66.66666667
Physicians + GPT-4,39.55223881
Physicians + GPT-4,47.22222222
Physicians + GPT-4,50
Physicians + conventional resources only,34.375
Physicians + conventional resources only,29.62962963
Physicians + conventional resources only,29.85074627
Physicians + conventional resources only,22.22222222
Physicians + conventional resources only,52.17391304
GPT-4 alone,25
GPT-4 alone,51.85185185
GPT-4 alone,41.79104478
GPT-4 alone,38.88888889
GPT-4 alone,76.08695652
