Country of developer,Country of developer_label,Country of provider,Country of provider_label,is_open_source,provider_count,ref_date,type
ALL,-- All countries --,CHN,China (People's Republic of),All,6,202411,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,6,202412,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,9,202501,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,9,202502,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,10,202503,All modalities
ALL,-- All countries --,CHN,China (People's Republic of),All,10,202504,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,1,202301,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,1,202302,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,1,202303,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,1,202304,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,1,202305,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,1,202306,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202307,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202308,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202309,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202310,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202311,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202312,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202401,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202402,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202403,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202404,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202405,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202406,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202407,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202408,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202409,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,2,202410,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,3,202411,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,3,202412,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,3,202501,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,3,202502,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,3,202503,All modalities
ALL,-- All countries --,GBR,United Kingdom,All,3,202504,All modalities
ALL,-- All countries --,FRA,France,All,1,202306,All modalities
ALL,-- All countries --,FRA,France,All,1,202307,All modalities
ALL,-- All countries --,FRA,France,All,1,202308,All modalities
ALL,-- All countries --,FRA,France,All,1,202309,All modalities
ALL,-- All countries --,FRA,France,All,1,202310,All modalities
ALL,-- All countries --,FRA,France,All,1,202311,All modalities
ALL,-- All countries --,FRA,France,All,2,202312,All modalities
ALL,-- All countries --,FRA,France,All,2,202401,All modalities
ALL,-- All countries --,FRA,France,All,2,202402,All modalities
ALL,-- All countries --,FRA,France,All,2,202403,All modalities
ALL,-- All countries --,FRA,France,All,2,202404,All modalities
ALL,-- All countries --,FRA,France,All,2,202405,All modalities
ALL,-- All countries --,FRA,France,All,2,202406,All modalities
ALL,-- All countries --,FRA,France,All,2,202407,All modalities
ALL,-- All countries --,FRA,France,All,2,202408,All modalities
ALL,-- All countries --,FRA,France,All,2,202409,All modalities
ALL,-- All countries --,FRA,France,All,2,202410,All modalities
ALL,-- All countries --,FRA,France,All,2,202411,All modalities
ALL,-- All countries --,FRA,France,All,2,202412,All modalities
ALL,-- All countries --,FRA,France,All,3,202501,All modalities
ALL,-- All countries --,FRA,France,All,3,202502,All modalities
ALL,-- All countries --,FRA,France,All,3,202503,All modalities
ALL,-- All countries --,FRA,France,All,3,202504,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202302,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202303,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202304,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202305,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202306,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202307,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202308,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202309,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202310,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202311,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202312,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202401,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202402,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202403,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202404,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202405,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202406,All modalities
ALL,-- All countries --,DEU,Germany,All,1,202407,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202408,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202409,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202410,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202411,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202412,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202501,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202502,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202503,All modalities
ALL,-- All countries --,DEU,Germany,All,2,202504,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202307,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202308,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202309,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202310,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202311,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202312,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202401,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202402,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202403,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202404,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202405,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202406,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202407,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202408,All modalities
ALL,-- All countries --,CAN,Canada,All,1,202409,All modalities
ALL,-- All countries --,CAN,Canada,All,2,202410,All modalities
ALL,-- All countries --,CAN,Canada,All,2,202411,All modalities
ALL,-- All countries --,CAN,Canada,All,2,202412,All modalities
ALL,-- All countries --,CAN,Canada,All,2,202501,All modalities
ALL,-- All countries --,CAN,Canada,All,2,202502,All modalities
ALL,-- All countries --,CAN,Canada,All,3,202503,All modalities
ALL,-- All countries --,CAN,Canada,All,3,202504,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202303,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202304,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202305,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202306,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202307,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202308,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202309,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202310,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202311,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202312,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202401,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202402,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202403,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202404,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202405,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202406,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202407,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202408,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202409,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202410,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202411,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202412,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202501,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202502,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202503,All modalities
ALL,-- All countries --,ISR,Israel,All,1,202504,All modalities
ALL,-- All countries --,KOR,Korea,All,1,202409,All modalities
ALL,-- All countries --,KOR,Korea,All,1,202410,All modalities
ALL,-- All countries --,KOR,Korea,All,1,202411,All modalities
ALL,-- All countries --,KOR,Korea,All,1,202412,All modalities
ALL,-- All countries --,KOR,Korea,All,1,202501,All modalities
ALL,-- All countries --,KOR,Korea,All,1,202502,All modalities
ALL,-- All countries --,KOR,Korea,All,1,202503,All modalities
ALL,-- All countries --,KOR,Korea,All,1,202504,All modalities
ALL,-- All countries --,NLD,Netherlands,All,1,202411,All modalities
ALL,-- All countries --,NLD,Netherlands,All,1,202412,All modalities
ALL,-- All countries --,NLD,Netherlands,All,1,202501,All modalities
ALL,-- All countries --,NLD,Netherlands,All,1,202502,All modalities
ALL,-- All countries --,NLD,Netherlands,All,1,202503,All modalities
ALL,-- All countries --,NLD,Netherlands,All,1,202504,All modalities
